max_depth	min_bucket	min_split	ganancia_promedio
4.5	750	2000	10371333
4.5	750	1800	10371333
4.5	750	1600	10022667
4.5	750	1550	10022667
4.5	750	1500	9968000
4.5	700	2000	10470667
4.5	700	1800	10470667
4.5	700	1600	10474667
4.5	700	1550	10474667
4.5	700	1500	10230667
4.5	700	1450	10230667
4.5	700	1400	10230667
4.5	650	2000	10492000
4.5	650	1800	10492000
4.5	650	1600	10496000
4.5	650	1550	10496000
4.5	650	1500	10287333
4.5	650	1450	10287333
4.5	650	1400	10287333
4.5	650	1300	10374667
4.5	600	2000	10492000
4.5	600	1800	10492000
4.5	600	1600	10496000
4.5	600	1550	10496000
4.5	600	1500	10290000
4.5	600	1450	10290000
4.5	600	1400	10290000
4.5	600	1300	10377333
4.5	600	1200	10377333
4.5	550	2000	10492000
4.5	550	1800	10492000
4.5	550	1600	10496000
4.5	550	1550	10496000
4.5	550	1500	10337333
4.5	550	1450	10337333
4.5	550	1400	10337333
4.5	550	1300	10422667
4.5	550	1200	10342000
4.5	500	2000	10519333
4.5	500	1800	10519333
4.5	500	1600	10523333
4.5	500	1550	10523333
4.5	500	1500	10622667
4.5	500	1450	10622667
4.5	500	1400	10622667
4.5	500	1300	10669333
4.5	500	1200	10633333
4.5	500	1000	10694667
4.5	450	2000	10528000
4.5	450	1800	10528000
4.5	450	1600	10532000
4.5	450	1550	10532000
4.5	450	1500	10366000
4.5	450	1450	10366000
4.5	450	1400	10366000
4.5	450	1300	10412667
4.5	450	1200	10378000
4.5	450	1000	10439333
4.5	400	2000	10526667
4.5	400	1800	10526667
4.5	400	1600	10530667
4.5	400	1550	10530667
4.5	400	1500	10257333
4.5	400	1450	10257333
4.5	400	1400	10257333
4.5	400	1300	10304000
4.5	400	1200	10269333
4.5	400	1000	10330667
5	750	2000	10708667
5	750	1800	10856000
5	750	1600	10463333
5	750	1550	10463333
5	750	1500	10408667
5	700	2000	10800000
5	700	1800	10947333
5	700	1600	10907333
5	700	1550	10907333
5	700	1500	10663333
5	700	1450	10691333
5	700	1400	10691333
5	650	2000	10795333
5	650	1800	10942667
5	650	1600	10902667
5	650	1550	10902667
5	650	1500	10694000
5	650	1450	10757333
5	650	1400	10757333
5	650	1300	10844667
5	600	2000	10795333
5	600	1800	10942667
5	600	1600	10877333
5	600	1550	10877333
5	600	1500	10671333
5	600	1450	10680000
5	600	1400	10680000
5	600	1300	10767333
5	600	1200	10715333
5	550	2000	10795333
5	550	1800	10942667
5	550	1600	11066667
5	550	1550	11066667
5	550	1500	10908000
5	550	1450	10982667
5	550	1400	10982667
5	550	1300	11068000
5	550	1200	10942667
5	500	2000	10800000
5	500	1800	10947333
5	500	1600	11140667
5	500	1550	11140667
5	500	1500	11240000
5	500	1450	11314667
5	500	1400	11314667
5	500	1300	11361333
5	500	1200	11260000
5	500	1000	11108667
5	450	2000	10819333
5	450	1800	10960667
5	450	1600	11154000
5	450	1550	11154000
5	450	1500	10988000
5	450	1450	11036000
5	450	1400	11036000
5	450	1300	11082667
5	450	1200	10986667
5	450	1000	10823333
5	400	2000	10708000
5	400	1800	10849333
5	400	1600	11042667
5	400	1550	11042667
5	400	1500	10769333
5	400	1450	10817333
5	400	1400	10817333
5	400	1300	10864000
5	400	1200	10788000
5	400	1000	10624667
5.5	750	2000	10708667
5.5	750	1800	10856000
5.5	750	1600	10463333
5.5	750	1550	10463333
5.5	750	1500	10408667
5.5	700	2000	10800000
5.5	700	1800	10947333
5.5	700	1600	10907333
5.5	700	1550	10907333
5.5	700	1500	10663333
5.5	700	1450	10691333
5.5	700	1400	10691333
5.5	650	2000	10795333
5.5	650	1800	10942667
5.5	650	1600	10902667
5.5	650	1550	10902667
5.5	650	1500	10694000
5.5	650	1450	10757333
5.5	650	1400	10757333
5.5	650	1300	10898667
5.5	600	2000	10795333
5.5	600	1800	10942667
5.5	600	1600	10877333
5.5	600	1550	10877333
5.5	600	1500	10671333
5.5	600	1450	10680000
5.5	600	1400	10680000
5.5	600	1300	10821333
5.5	600	1200	10754667
5.5	550	2000	10795333
5.5	550	1800	10942667
5.5	550	1600	11066667
5.5	550	1550	11066667
5.5	550	1500	10908000
5.5	550	1450	10982667
5.5	550	1400	10982667
5.5	550	1300	11122000
5.5	550	1200	10982000
5.5	500	2000	10800000
5.5	500	1800	10842000
5.5	500	1600	11035333
5.5	500	1550	11035333
5.5	500	1500	11134667
5.5	500	1450	11209333
5.5	500	1400	11209333
5.5	500	1300	11256000
5.5	500	1200	11154667
5.5	500	1000	11003333
5.5	450	2000	10819333
5.5	450	1800	10849333
5.5	450	1600	11042667
5.5	450	1550	11042667
5.5	450	1500	10876667
5.5	450	1450	10924667
5.5	450	1400	10924667
5.5	450	1300	10971333
5.5	450	1200	10875333
5.5	450	1000	10697333
5.5	400	2000	10708000
5.5	400	1800	10738000
5.5	400	1600	10931333
5.5	400	1550	10931333
5.5	400	1500	10658000
5.5	400	1450	10706000
5.5	400	1400	10706000
5.5	400	1300	10752667
5.5	400	1200	10676667
5.5	400	1000	10466000
6	750	2000	10708667
6	750	1800	10962667
6	750	1600	10328000
6	750	1550	10328000
6	750	1500	10273333
6	700	2000	10800000
6	700	1800	11087333
6	700	1600	11094667
6	700	1550	11094667
6	700	1500	10850667
6	700	1450	10878667
6	700	1400	10878667
6	650	2000	10795333
6	650	1800	11006667
6	650	1600	10882667
6	650	1550	10882667
6	650	1500	10674000
6	650	1450	10737333
6	650	1400	10737333
6	650	1300	10878667
6	600	2000	10804667
6	600	1800	11016000
6	600	1600	10866667
6	600	1550	10866667
6	600	1500	10660667
6	600	1450	10669333
6	600	1400	10669333
6	600	1300	10810667
6	600	1200	10744000
6	550	2000	10804667
6	550	1800	11039333
6	550	1600	11079333
6	550	1550	11079333
6	550	1500	10920667
6	550	1450	10995333
6	550	1400	10995333
6	550	1300	11134667
6	550	1200	10994667
6	500	2000	10809333
6	500	1800	10930667
6	500	1600	11056000
6	500	1550	11056000
6	500	1500	11155333
6	500	1450	11230000
6	500	1400	11230000
6	500	1300	11276667
6	500	1200	11175333
6	500	1000	10940667
6	450	2000	10828667
6	450	1800	10938000
6	450	1600	11148000
6	450	1550	11148000
6	450	1500	10982000
6	450	1450	11030000
6	450	1400	11030000
6	450	1300	11076667
6	450	1200	10980667
6	450	1000	10696000
6	400	2000	10717333
6	400	1800	10826667
6	400	1600	11036667
6	400	1550	11036667
6	400	1500	10839333
6	400	1450	10887333
6	400	1400	10887333
6	400	1300	10934000
6	400	1200	10858000
6	400	1000	10462667
6.5	750	2000	10708667
6.5	750	1800	10962667
6.5	750	1600	10328000
6.5	750	1550	10328000
6.5	750	1500	10273333
6.5	700	2000	10800000
6.5	700	1800	11087333
6.5	700	1600	11094667
6.5	700	1550	11094667
6.5	700	1500	10850667
6.5	700	1450	10878667
6.5	700	1400	10878667
6.5	650	2000	10795333
6.5	650	1800	11006667
6.5	650	1600	10882667
6.5	650	1550	10882667
6.5	650	1500	10674000
6.5	650	1450	10737333
6.5	650	1400	10737333
6.5	650	1300	10878667
6.5	600	2000	10804667
6.5	600	1800	11016000
6.5	600	1600	10866667
6.5	600	1550	10866667
6.5	600	1500	10660667
6.5	600	1450	10669333
6.5	600	1400	10669333
6.5	600	1300	10810667
6.5	600	1200	10744000
6.5	550	2000	10804667
6.5	550	1800	11039333
6.5	550	1600	11079333
6.5	550	1550	11079333
6.5	550	1500	10920667
6.5	550	1450	10995333
6.5	550	1400	10995333
6.5	550	1300	11134667
6.5	550	1200	10994667
6.5	500	2000	10809333
6.5	500	1800	10930667
6.5	500	1600	11056000
6.5	500	1550	11056000
6.5	500	1500	11155333
6.5	500	1450	11230000
6.5	500	1400	11230000
6.5	500	1300	11276667
6.5	500	1200	11175333
6.5	500	1000	10767333
6.5	450	2000	10828667
6.5	450	1800	10938000
6.5	450	1600	11148000
6.5	450	1550	11148000
6.5	450	1500	10982000
6.5	450	1450	11030000
6.5	450	1400	11030000
6.5	450	1300	11076667
6.5	450	1200	10980667
6.5	450	1000	10526000
6.5	400	2000	10717333
6.5	400	1800	10826667
6.5	400	1600	11036667
6.5	400	1550	11036667
6.5	400	1500	10839333
6.5	400	1450	10887333
6.5	400	1400	10887333
6.5	400	1300	10934000
6.5	400	1200	10858000
6.5	400	1000	10462667
7	750	2000	10708667
7	750	1800	10962667
7	750	1600	10328000
7	750	1550	10292667
7	750	1500	10238000
7	700	2000	10800000
7	700	1800	11087333
7	700	1600	11094667
7	700	1550	11150000
7	700	1500	10906000
7	700	1450	10934000
7	700	1400	10934000
7	650	2000	10861333
7	650	1800	11072667
7	650	1600	10948667
7	650	1550	10948667
7	650	1500	10740000
7	650	1450	10803333
7	650	1400	10803333
7	650	1300	10944667
7	600	2000	10884000
7	600	1800	11095333
7	600	1600	10946000
7	600	1550	10946000
7	600	1500	10740000
7	600	1450	10748667
7	600	1400	10748667
7	600	1300	10890000
7	600	1200	10823333
7	550	2000	10884000
7	550	1800	11118667
7	550	1600	11158667
7	550	1550	11158667
7	550	1500	1.1e+07
7	550	1450	11074667
7	550	1400	11074667
7	550	1300	11214000
7	550	1200	11046000
7	500	2000	10888667
7	500	1800	11010000
7	500	1600	11006667
7	500	1550	11006667
7	500	1500	11106000
7	500	1450	11180667
7	500	1400	11180667
7	500	1300	11200667
7	500	1200	11077333
7	500	1000	10669333
7	450	2000	10908000
7	450	1800	11017333
7	450	1600	11096000
7	450	1550	11096000
7	450	1500	10930000
7	450	1450	10978000
7	450	1400	10978000
7	450	1300	10925333
7	450	1200	10737333
7	450	1000	10336667
7	400	2000	10717333
7	400	1800	10826667
7	400	1600	10905333
7	400	1550	10905333
7	400	1500	10708000
7	400	1450	10756000
7	400	1400	10756000
7	400	1300	10703333
7	400	1200	10524000
7	400	1000	10084667
7.5	750	2000	10708667
7.5	750	1800	10962667
7.5	750	1600	10328000
7.5	750	1550	10292667
7.5	750	1500	10238000
7.5	700	2000	10800000
7.5	700	1800	11087333
7.5	700	1600	11094667
7.5	700	1550	11150000
7.5	700	1500	10906000
7.5	700	1450	10934000
7.5	700	1400	10934000
7.5	650	2000	10861333
7.5	650	1800	11072667
7.5	650	1600	10948667
7.5	650	1550	10948667
7.5	650	1500	10740000
7.5	650	1450	10803333
7.5	650	1400	10803333
7.5	650	1300	10944667
7.5	600	2000	10884000
7.5	600	1800	11095333
7.5	600	1600	10946000
7.5	600	1550	10946000
7.5	600	1500	10740000
7.5	600	1450	10748667
7.5	600	1400	10748667
7.5	600	1300	10890000
7.5	600	1200	10823333
7.5	550	2000	10884000
7.5	550	1800	11118667
7.5	550	1600	11158667
7.5	550	1550	11158667
7.5	550	1500	1.1e+07
7.5	550	1450	11074667
7.5	550	1400	11074667
7.5	550	1300	11214000
7.5	550	1200	11046000
7.5	500	2000	10888667
7.5	500	1800	11010000
7.5	500	1600	11006667
7.5	500	1550	11006667
7.5	500	1500	11106000
7.5	500	1450	11180667
7.5	500	1400	11180667
7.5	500	1300	11200667
7.5	500	1200	11077333
7.5	500	1000	10669333
7.5	450	2000	10908000
7.5	450	1800	11017333
7.5	450	1600	11096000
7.5	450	1550	11096000
7.5	450	1500	10930000
7.5	450	1450	10978000
7.5	450	1400	10978000
7.5	450	1300	10925333
7.5	450	1200	10737333
7.5	450	1000	10336667
7.5	400	2000	10717333
7.5	400	1800	10826667
7.5	400	1600	10905333
7.5	400	1550	10905333
7.5	400	1500	10708000
7.5	400	1450	10756000
7.5	400	1400	10756000
7.5	400	1300	10703333
7.5	400	1200	10524000
7.5	400	1000	10084667
8	750	2000	10708667
8	750	1800	10962667
8	750	1600	10328000
8	750	1550	10292667
8	750	1500	10238000
8	700	2000	10800000
8	700	1800	11087333
8	700	1600	11094667
8	700	1550	11150000
8	700	1500	10906000
8	700	1450	10934000
8	700	1400	10934000
8	650	2000	10861333
8	650	1800	11072667
8	650	1600	10948667
8	650	1550	10948667
8	650	1500	10740000
8	650	1450	10803333
8	650	1400	10803333
8	650	1300	10944667
8	600	2000	10884000
8	600	1800	11095333
8	600	1600	10946000
8	600	1550	10946000
8	600	1500	10740000
8	600	1450	10748667
8	600	1400	10748667
8	600	1300	10771333
8	600	1200	10704667
8	550	2000	10884000
8	550	1800	11118667
8	550	1600	11158667
8	550	1550	11158667
8	550	1500	1.1e+07
8	550	1450	11074667
8	550	1400	11074667
8	550	1300	11112000
8	550	1200	10944000
8	500	2000	10888667
8	500	1800	11010000
8	500	1600	11006667
8	500	1550	11006667
8	500	1500	11106000
8	500	1450	11180667
8	500	1400	11180667
8	500	1300	11072667
8	500	1200	10949333
8	500	1000	10396667
8	450	2000	10908000
8	450	1800	11017333
8	450	1600	11096000
8	450	1550	11096000
8	450	1500	10930000
8	450	1450	10978000
8	450	1400	10978000
8	450	1300	10797333
8	450	1200	10609333
8	450	1000	9980000
8	400	2000	10787333
8	400	1800	10896667
8	400	1600	10975333
8	400	1550	10975333
8	400	1500	10778000
8	400	1450	10826000
8	400	1400	10826000
8	400	1300	10645333
8	400	1200	10419333
8	400	1000	9769333
