max_depth	min_bucket	min_split	ganancia_promedio
3	600	1500	8792000
3	500	1500	8792000
3	500	1000	8792000
3	400	1500	8792000
3	400	1000	8792000
3	400	800	8792000
3	200	1500	8725333
3	200	1000	8725333
3	200	800	8725333
3	200	600	8725333
3	200	400	8725333
3	100	1500	8725333
3	100	1000	8725333
3	100	800	8725333
3	100	600	8725333
3	100	400	8725333
3	100	200	8725333
3	50	1500	8725333
3	50	1000	8725333
3	50	800	8725333
3	50	600	8725333
3	50	400	8725333
3	50	200	8725333
3	50	100	8725333
3	25	1500	8633333
3	25	1000	8633333
3	25	800	8633333
3	25	600	8633333
3	25	400	8633333
3	25	200	8633333
3	25	100	8633333
3	25	50	8633333
3	10	1500	8460000
3	10	1000	8460000
3	10	800	8460000
3	10	600	8460000
3	10	400	8460000
3	10	200	8460000
3	10	100	8460000
3	10	50	8460000
3	5	1500	8467333
3	5	1000	8467333
3	5	800	8467333
3	5	600	8467333
3	5	400	8467333
3	5	200	8467333
3	5	100	8467333
3	5	50	8467333
5	600	1500	10671333
5	500	1500	11240000
5	500	1000	11108667
5	400	1500	10769333
5	400	1000	10624667
5	400	800	10701333
5	200	1500	10374000
5	200	1000	10440667
5	200	800	10220000
5	200	600	10132000
5	200	400	10056000
5	100	1500	10220667
5	100	1000	10287333
5	100	800	10104667
5	100	600	10104667
5	100	400	10063333
5	100	200	9990667
5	50	1500	9967333
5	50	1000	10156667
5	50	800	9962000
5	50	600	9948000
5	50	400	9948000
5	50	200	9933333
5	50	100	10075333
5	25	1500	9894000
5	25	1000	9972000
5	25	800	9878667
5	25	600	9861333
5	25	400	9861333
5	25	200	9850667
5	25	100	9844667
5	25	50	9856000
5	10	1500	10226667
5	10	1000	10226000
5	10	800	10153333
5	10	600	10142667
5	10	400	10142667
5	10	200	10142667
5	10	100	10142667
5	10	50	10136000
5	5	1500	9767333
5	5	1000	9766667
5	5	800	9757333
5	5	600	9746667
5	5	400	9746667
5	5	200	9746667
5	5	100	9746667
5	5	50	9746667
7	600	1500	10740000
7	500	1500	11106000
7	500	1000	10669333
7	400	1500	10708000
7	400	1000	10084667
7	400	800	10293333
7	200	1500	10508667
7	200	1000	10412000
7	200	800	9959333
7	200	600	9895333
7	200	400	9327333
7	100	1500	10276667
7	100	1000	10277333
7	100	800	10048667
7	100	600	10083333
7	100	400	10016667
7	100	200	9675333
7	50	1500	10052667
7	50	1000	10186667
7	50	800	9789333
7	50	600	9835333
7	50	400	9789333
7	50	200	9736667
7	50	100	9923333
7	25	1500	9726667
7	25	1000	10261333
7	25	800	9874000
7	25	600	9793333
7	25	400	9886000
7	25	200	9797333
7	25	100	9966667
7	25	50	10087333
7	10	1500	10276000
7	10	1000	10281333
7	10	800	10153333
7	10	600	10149333
7	10	400	10142667
7	10	200	10196667
7	10	100	10188667
7	10	50	10223333
7	5	1500	10223333
7	5	1000	10286667
7	5	800	10197333
7	5	600	10228000
7	5	400	10224667
7	5	200	10284667
7	5	100	10348000
7	5	50	10396000
11	600	1500	10740000
11	500	1500	11106000
11	500	1000	10396667
11	400	1500	10649333
11	400	1000	9640667
11	400	800	9952000
11	200	1500	10317333
11	200	1000	9972667
11	200	800	9520000
11	200	600	9124667
11	200	400	8159333
11	100	1500	9644000
11	100	1000	9604000
11	100	800	8971333
11	100	600	8450667
11	100	400	7647333
11	100	200	6988000
11	50	1500	9457333
11	50	1000	9646667
11	50	800	8766667
11	50	600	8610000
11	50	400	8328667
11	50	200	7100667
11	50	100	6883333
11	25	1500	9284667
11	25	1000	9910667
11	25	800	8923333
11	25	600	8310667
11	25	400	8219333
11	25	200	7092000
11	25	100	7072667
11	25	50	6879333
11	10	1500	9860667
11	10	1000	9892000
11	10	800	9654000
11	10	600	8898667
11	10	400	8831333
11	10	200	8506000
11	10	100	8514667
11	10	50	8737333
11	5	1500	10000667
11	5	1000	10147333
11	5	800	10029333
11	5	600	9458000
11	5	400	9354000
11	5	200	9473333
11	5	100	9447333
11	5	50	9447333
13	600	1500	10740000
13	500	1500	11106000
13	500	1000	10396667
13	400	1500	10649333
13	400	1000	9640667
13	400	800	9952000
13	200	1500	10317333
13	200	1000	9972667
13	200	800	9520000
13	200	600	9124667
13	200	400	8142000
13	100	1500	9644000
13	100	1000	9596667
13	100	800	8964000
13	100	600	8390667
13	100	400	7414000
13	100	200	6853333
13	50	1500	9196000
13	50	1000	9290667
13	50	800	8406000
13	50	600	7988667
13	50	400	7461333
13	50	200	6017333
13	50	100	5003333
13	25	1500	9025333
13	25	1000	9590667
13	25	800	8563333
13	25	600	7803333
13	25	400	7360000
13	25	200	5832667
13	25	100	5622667
13	25	50	4967333
13	10	1500	9622000
13	10	1000	9504667
13	10	800	9121333
13	10	600	8168667
13	10	400	8246667
13	10	200	7822667
13	10	100	7653333
13	10	50	7807333
13	5	1500	9764667
13	5	1000	9824000
13	5	800	9653333
13	5	600	8818000
13	5	400	8636667
13	5	200	8256667
13	5	100	8099333
13	5	50	8165333
17	600	1500	10740000
17	500	1500	11106000
17	500	1000	10396667
17	400	1500	10649333
17	400	1000	9640667
17	400	800	9952000
17	200	1500	10317333
17	200	1000	9972667
17	200	800	9520000
17	200	600	9043333
17	200	400	8060667
17	100	1500	9644000
17	100	1000	9596667
17	100	800	8969333
17	100	600	8350000
17	100	400	7373333
17	100	200	6730000
17	50	1500	8911333
17	50	1000	8965333
17	50	800	8036000
17	50	600	7602667
17	50	400	7046667
17	50	200	5458000
17	50	100	4330667
17	25	1500	8794667
17	25	1000	9260667
17	25	800	8267333
17	25	600	7480000
17	25	400	7138667
17	25	200	4814000
17	25	100	4486000
17	25	50	3748667
17	10	1500	9223333
17	10	1000	8990000
17	10	800	8524000
17	10	600	7502000
17	10	400	7050667
17	10	200	6105333
17	10	100	5406000
17	10	50	5241333
17	5	1500	9225333
17	5	1000	9318000
17	5	800	8904667
17	5	600	7642000
17	5	400	7390000
17	5	200	6795333
17	5	100	6111333
17	5	50	6436000
19	600	1500	10740000
19	500	1500	11106000
19	500	1000	10396667
19	400	1500	10649333
19	400	1000	9640667
19	400	800	9952000
19	200	1500	10317333
19	200	1000	9972667
19	200	800	9520000
19	200	600	9043333
19	200	400	8060667
19	100	1500	9644000
19	100	1000	9596667
19	100	800	8969333
19	100	600	8350000
19	100	400	7373333
19	100	200	6730000
19	50	1500	8880667
19	50	1000	8934667
19	50	800	8005333
19	50	600	7572000
19	50	400	6990667
19	50	200	5318667
19	50	100	4164000
19	25	1500	8738000
19	25	1000	9204000
19	25	800	8210667
19	25	600	7423333
19	25	400	7058667
19	25	200	4508667
19	25	100	4220667
19	25	50	3460667
19	10	1500	9098667
19	10	1000	8683333
19	10	800	8274667
19	10	600	7266000
19	10	400	6704667
19	10	200	5704000
19	10	100	4674000
19	10	50	4401333
19	5	1500	8870667
19	5	1000	8905333
19	5	800	8434667
19	5	600	7201333
19	5	400	6990667
19	5	200	6036667
19	5	100	4810667
19	5	50	4996000
23	600	1500	10740000
23	500	1500	11106000
23	500	1000	10396667
23	400	1500	10649333
23	400	1000	9640667
23	400	800	9952000
23	200	1500	10317333
23	200	1000	9972667
23	200	800	9520000
23	200	600	9043333
23	200	400	8060667
23	100	1500	9644000
23	100	1000	9596667
23	100	800	8969333
23	100	600	8350000
23	100	400	7373333
23	100	200	6730000
23	50	1500	8866667
23	50	1000	8920667
23	50	800	7991333
23	50	600	7558000
23	50	400	6952000
23	50	200	5302667
23	50	100	4080667
23	25	1500	8664667
23	25	1000	9130667
23	25	800	8137333
23	25	600	7350000
23	25	400	6966667
23	25	200	4354667
23	25	100	4122667
23	25	50	3320667
23	10	1500	8811333
23	10	1000	8298667
23	10	800	7818667
23	10	600	6727333
23	10	400	6082667
23	10	200	4731333
23	10	100	3578667
23	10	50	3086000
23	5	1500	8674000
23	5	1000	8588667
23	5	800	8027333
23	5	600	6903333
23	5	400	6402000
23	5	200	4696667
23	5	100	3197333
23	5	50	3297333
29	600	1500	10740000
29	500	1500	11106000
29	500	1000	10396667
29	400	1500	10649333
29	400	1000	9640667
29	400	800	9952000
29	200	1500	10317333
29	200	1000	9972667
29	200	800	9520000
29	200	600	9043333
29	200	400	8060667
29	100	1500	9644000
29	100	1000	9596667
29	100	800	8969333
29	100	600	8350000
29	100	400	7373333
29	100	200	6730000
29	50	1500	8866667
29	50	1000	8920667
29	50	800	7991333
29	50	600	7558000
29	50	400	6952000
29	50	200	5302667
29	50	100	4080667
29	25	1500	8631333
29	25	1000	9097333
29	25	800	8104000
29	25	600	7300667
29	25	400	6903333
29	25	200	4285333
29	25	100	4038667
29	25	50	3216000
29	10	1500	8677333
29	10	1000	8164667
29	10	800	7684667
29	10	600	6560667
29	10	400	5921333
29	10	200	4711333
29	10	100	3592667
29	10	50	3159333
29	5	1500	8500000
29	5	1000	8366667
29	5	800	7791333
29	5	600	6605333
29	5	400	6036667
29	5	200	4468000
29	5	100	3030000
29	5	50	3238667
