max_depth	min_bucket	min_split	ganancia_promedio
5	600	1650	10934667
5	600	1600	10877333
5	600	1550	10877333
5	600	1500	10671333
5	600	1450	10680000
5	600	1400	10680000
5	600	1350	10680000
5	600	1300	10767333
5	600	1250	10715333
5	600	1200	10715333
5	575	1650	11124000
5	575	1600	11066667
5	575	1550	11066667
5	575	1500	10903333
5	575	1450	10912000
5	575	1400	10912000
5	575	1350	10956667
5	575	1300	11044000
5	575	1250	10992000
5	575	1200	10911333
5	550	1650	11124000
5	550	1600	11066667
5	550	1550	11066667
5	550	1500	10908000
5	550	1450	10982667
5	550	1400	10982667
5	550	1350	11027333
5	550	1300	11068000
5	550	1250	11023333
5	550	1200	10942667
5	525	1650	11123333
5	525	1600	11066000
5	525	1550	11066000
5	525	1500	10909333
5	525	1450	10984000
5	525	1400	10984000
5	525	1350	11018667
5	525	1300	11064000
5	525	1250	11019333
5	525	1200	10976000
5	500	1650	11128667
5	500	1600	11140667
5	500	1550	11140667
5	500	1500	11240000
5	500	1450	11314667
5	500	1400	11314667
5	500	1350	11349333
5	500	1300	11361333
5	500	1250	11296000
5	500	1200	11260000
5	475	1650	11147333
5	475	1600	11159333
5	475	1550	11159333
5	475	1500	10983333
5	475	1450	11038667
5	475	1400	11038667
5	475	1350	11073333
5	475	1300	11085333
5	475	1250	11024000
5	475	1200	10989333
5	450	1650	11142000
5	450	1600	11154000
5	450	1550	11154000
5	450	1500	10988000
5	450	1450	11036000
5	450	1400	11036000
5	450	1350	11070667
5	450	1300	11082667
5	450	1250	11021333
5	450	1200	10986667
5	425	1650	11140667
5	425	1600	11152667
5	425	1550	11152667
5	425	1500	10950667
5	425	1450	10998667
5	425	1400	10998667
5	425	1350	11033333
5	425	1300	11045333
5	425	1250	10984000
5	425	1200	10949333
5	400	1650	11030667
5	400	1600	11042667
5	400	1550	11042667
5	400	1500	10769333
5	400	1450	10817333
5	400	1400	10817333
5	400	1350	10852000
5	400	1300	10864000
5	400	1250	10822667
5	400	1200	10788000
6	600	1650	10924000
6	600	1600	10866667
6	600	1550	10866667
6	600	1500	10660667
6	600	1450	10669333
6	600	1400	10669333
6	600	1350	10669333
6	600	1300	10810667
6	600	1250	10758667
6	600	1200	10744000
6	575	1650	11113333
6	575	1600	11056000
6	575	1550	11056000
6	575	1500	10892667
6	575	1450	10901333
6	575	1400	10901333
6	575	1350	10946000
6	575	1300	11087333
6	575	1250	11035333
6	575	1200	10940000
6	550	1650	11136667
6	550	1600	11079333
6	550	1550	11079333
6	550	1500	10920667
6	550	1450	10995333
6	550	1400	10995333
6	550	1350	11040000
6	550	1300	11134667
6	550	1250	11090000
6	550	1200	10994667
6	525	1650	11041333
6	525	1600	10984000
6	525	1550	10984000
6	525	1500	10827333
6	525	1450	10902000
6	525	1400	10902000
6	525	1350	10936667
6	525	1300	10982000
6	525	1250	10937333
6	525	1200	10894000
6	500	1650	11044000
6	500	1600	11056000
6	500	1550	11056000
6	500	1500	11155333
6	500	1450	11230000
6	500	1400	11230000
6	500	1350	11264667
6	500	1300	11276667
6	500	1250	11211333
6	500	1200	11175333
6	475	1650	11056667
6	475	1600	11068667
6	475	1550	11068667
6	475	1500	10892667
6	475	1450	10948000
6	475	1400	10948000
6	475	1350	10982667
6	475	1300	10994667
6	475	1250	10933333
6	475	1200	10898667
6	450	1650	11136000
6	450	1600	11148000
6	450	1550	11148000
6	450	1500	10982000
6	450	1450	11030000
6	450	1400	11030000
6	450	1350	11064667
6	450	1300	11076667
6	450	1250	11015333
6	450	1200	10980667
6	425	1650	11134667
6	425	1600	11146667
6	425	1550	11146667
6	425	1500	10944667
6	425	1450	10992667
6	425	1400	10992667
6	425	1350	11027333
6	425	1300	11039333
6	425	1250	10978000
6	425	1200	10943333
6	400	1650	11024667
6	400	1600	11036667
6	400	1550	11036667
6	400	1500	10839333
6	400	1450	10887333
6	400	1400	10887333
6	400	1350	10922000
6	400	1300	10934000
6	400	1250	10892667
6	400	1200	10858000
7	600	1650	11003333
7	600	1600	10946000
7	600	1550	10946000
7	600	1500	10740000
7	600	1450	10748667
7	600	1400	10748667
7	600	1350	10748667
7	600	1300	10890000
7	600	1250	10838000
7	600	1200	10823333
7	575	1650	11192667
7	575	1600	11135333
7	575	1550	11135333
7	575	1500	10972000
7	575	1450	10980667
7	575	1400	10980667
7	575	1350	11025333
7	575	1300	11166667
7	575	1250	11114667
7	575	1200	11019333
7	550	1650	11216000
7	550	1600	11158667
7	550	1550	11158667
7	550	1500	1.1e+07
7	550	1450	11074667
7	550	1400	11074667
7	550	1350	11119333
7	550	1300	11214000
7	550	1250	11141333
7	550	1200	11046000
7	525	1650	11120667
7	525	1600	10934667
7	525	1550	10934667
7	525	1500	10778000
7	525	1450	10852667
7	525	1400	10852667
7	525	1350	10887333
7	525	1300	10932667
7	525	1250	10866000
7	525	1200	10822667
7	500	1650	11123333
7	500	1600	11006667
7	500	1550	11006667
7	500	1500	11106000
7	500	1450	11180667
7	500	1400	11180667
7	500	1350	11215333
7	500	1300	11200667
7	500	1250	11113333
7	500	1200	11077333
7	475	1650	11004667
7	475	1600	11016667
7	475	1550	11016667
7	475	1500	10840667
7	475	1450	10896000
7	475	1400	10896000
7	475	1350	10802667
7	475	1300	10814667
7	475	1250	10731333
7	475	1200	10696667
7	450	1650	11084000
7	450	1600	11096000
7	450	1550	11096000
7	450	1500	10930000
7	450	1450	10978000
7	450	1400	10978000
7	450	1350	10913333
7	450	1300	10925333
7	450	1250	10842000
7	450	1200	10737333
7	425	1650	11082667
7	425	1600	11094667
7	425	1550	11094667
7	425	1500	10892667
7	425	1450	10940667
7	425	1400	10940667
7	425	1350	10876000
7	425	1300	10888000
7	425	1250	10804667
7	425	1200	10700000
7	400	1650	10893333
7	400	1600	10905333
7	400	1550	10905333
7	400	1500	10708000
7	400	1450	10756000
7	400	1400	10756000
7	400	1350	10691333
7	400	1300	10703333
7	400	1250	10640000
7	400	1200	10524000
