max_depth	min_bucket	min_split	peso_error	ganancia_promedio
5	550	1550	5	10684000
5	550	1550	10	10178667
5	550	1550	59	10808000
5	550	1550	60	10808000
5	550	1550	120	10500000
5	550	1500	5	10684000
5	550	1500	10	10178667
5	550	1500	59	10808000
5	550	1500	60	10808000
5	550	1500	120	10500000
5	550	1450	5	10684000
5	550	1450	10	10178667
5	550	1450	59	10808000
5	550	1450	60	10808000
5	550	1450	120	10500000
5	550	1400	5	10684000
5	550	1400	10	10178667
5	550	1400	59	10808000
5	550	1400	60	10808000
5	550	1400	120	10500000
5	550	1350	5	10684000
5	550	1350	10	10380667
5	550	1350	59	10808000
5	550	1350	60	10808000
5	550	1350	120	10500000
5	550	1300	5	10684000
5	550	1300	10	10380667
5	550	1300	59	10808000
5	550	1300	60	10808000
5	550	1300	120	10500000
5	550	1250	5	10741333
5	550	1250	10	10438000
5	550	1250	59	10808000
5	550	1250	60	10808000
5	550	1250	120	10500000
5	525	1550	5	10560667
5	525	1550	10	10178667
5	525	1550	59	11046000
5	525	1550	60	11046000
5	525	1550	120	10507333
5	525	1500	5	10560667
5	525	1500	10	10178667
5	525	1500	59	11046000
5	525	1500	60	11046000
5	525	1500	120	10507333
5	525	1450	5	10560667
5	525	1450	10	10178667
5	525	1450	59	11046000
5	525	1450	60	11046000
5	525	1450	120	10507333
5	525	1400	5	10560667
5	525	1400	10	10178667
5	525	1400	59	11046000
5	525	1400	60	11046000
5	525	1400	120	10507333
5	525	1350	5	10560667
5	525	1350	10	10348667
5	525	1350	59	11046000
5	525	1350	60	11046000
5	525	1350	120	10507333
5	525	1300	5	10560667
5	525	1300	10	10348667
5	525	1300	59	11046000
5	525	1300	60	11046000
5	525	1300	120	10507333
5	525	1250	5	10618000
5	525	1250	10	10406000
5	525	1250	59	11046000
5	525	1250	60	11046000
5	525	1250	120	10507333
5	500	1550	5	10600667
5	500	1550	10	10178667
5	500	1550	59	11070000
5	500	1550	60	11070000
5	500	1550	120	10507333
5	500	1500	5	10600667
5	500	1500	10	10178667
5	500	1500	59	11070000
5	500	1500	60	11070000
5	500	1500	120	10507333
5	500	1450	5	10600667
5	500	1450	10	10178667
5	500	1450	59	11070000
5	500	1450	60	11070000
5	500	1450	120	10507333
5	500	1400	5	10600667
5	500	1400	10	10178667
5	500	1400	59	11070000
5	500	1400	60	11070000
5	500	1400	120	10507333
5	500	1350	5	10600667
5	500	1350	10	10356000
5	500	1350	59	11070000
5	500	1350	60	11070000
5	500	1350	120	10507333
5	500	1300	5	10600667
5	500	1300	10	10356000
5	500	1300	59	11070000
5	500	1300	60	11070000
5	500	1300	120	10507333
5	500	1250	5	10705333
5	500	1250	10	10460667
5	500	1250	59	11070000
5	500	1250	60	11070000
5	500	1250	120	10507333
5	475	1550	5	10600667
5	475	1550	10	10143333
5	475	1550	59	11029333
5	475	1550	60	11029333
5	475	1550	120	10738000
5	475	1500	5	10600667
5	475	1500	10	10143333
5	475	1500	59	11029333
5	475	1500	60	11029333
5	475	1500	120	10738000
5	475	1450	5	10600667
5	475	1450	10	10143333
5	475	1450	59	11029333
5	475	1450	60	11029333
5	475	1450	120	10738000
5	475	1400	5	10600667
5	475	1400	10	10143333
5	475	1400	59	11029333
5	475	1400	60	11029333
5	475	1400	120	10738000
5	475	1350	5	10600667
5	475	1350	10	10199333
5	475	1350	59	11029333
5	475	1350	60	11029333
5	475	1350	120	10738000
5	475	1300	5	10600667
5	475	1300	10	10199333
5	475	1300	59	11029333
5	475	1300	60	11029333
5	475	1300	120	10738000
5	475	1250	5	10705333
5	475	1250	10	10304000
5	475	1250	59	11029333
5	475	1250	60	11029333
5	475	1250	120	10738000
5	450	1550	5	10566000
5	450	1550	10	10108667
5	450	1550	59	11120000
5	450	1550	60	11120000
5	450	1550	120	10784000
5	450	1500	5	10566000
5	450	1500	10	10108667
5	450	1500	59	11120000
5	450	1500	60	11120000
5	450	1500	120	10784000
5	450	1450	5	10566000
5	450	1450	10	10108667
5	450	1450	59	11120000
5	450	1450	60	11120000
5	450	1450	120	10784000
5	450	1400	5	10566000
5	450	1400	10	10108667
5	450	1400	59	11120000
