fecha	cp	minsplit	minbucket	maxdepth	xval_folds	ganancia	iteracion
20220520 203726	-0.780151076981565	3456	1087	5	5	9956000	1
20220520 203822	-0.0191337244454188	1792	284	12	5	10354000	2
20220520 203907	-0.0670274390053236	3930	897	17	5	9480000	3
20220520 203951	-0.613392458253657	4250	874	17	5	9782000	4
20220520 204033	-0.523076787288301	6240	1142	11	5	8649000	5
20220520 204114	-0.695449898212974	5876	46	8	5	8887000	6
20220520 204140	0.0328407397202684	6726	1445	14	5	0	7
20220520 204208	-0.219601909033372	7222	396	4	5	8163000	8
20220520 204230	-0.364138899711543	4536	1539	3	5	7956000	9
20220520 204323	-0.950478833244415	7699	139	18	5	8002000	10
20220520 204402	-0.88569644279487	5116	1884	15	5	9029000	11
20220520 204446	-0.168207647486997	2982	580	10	5	9969000	12
20220520 204519	-0.33931372151128	6652	278	6	5	8645000	13
20220520 204559	-0.893097394070355	4857	1376	15	5	8871000	14
20220520 204620	0.071425044257194	7661	1150	20	5	0	15
20220520 204702	-0.572467502078507	3357	761	9	5	9612000	16
20220520 204812	-0.0844866396134051	1481	739	20	5	9536000	17
20220520 204954	-0.0476779015597007	3501	1	19	5	9515000	18
20220520 205023	0.0999807473387946	2717	302	3	5	0	19
20220520 205112	-0.0436865670660654	217	107	6	5	10023000	20
20220520 205203	-0.793385246682028	7994	1753	20	5	8127000	21
20220520 205234	-0.823954824750529	262	121	3	5	8314000	22
20220520 205304	-0.736597810606123	3579	1785	3	5	8144000	23
20220520 205333	-0.12459015891076	3232	537	3	5	8437000	24
20220520 205429	-0.171029887629384	4001	1990	20	5	9231000	25
20220520 205601	-0.0259570761573879	73	36	15	5	3635000	26
20220520 205709	-0.282189304484404	2480	399	20	5	9644000	27
20220520 205805	-0.707813806694699	4901	1252	12	5	8931000	28
20220520 205904	-0.452462133376952	2969	1030	13	5	9884000	29
20220520 210001	-0.958310985210375	1212	233	8	5	10080000	30
20220520 210031	-0.719079172758083	3749	656	3	5	8437000	31
20220520 210135	-0.14705521278525	1736	569	11	5	10368000	32
20220520 210238	-0.247510425655109	3450	628	15	5	9974000	33
20220520 210335	-0.840614194711117	2742	751	9	5	9842000	34
20220520 210437	-0.0966491078830825	2170	816	16	5	9731000	35
20220520 210525	-0.106266700821713	962	206	6	5	9782000	36
20220520 210624	-0.774969802594595	3411	1044	14	5	10055000	37
20220520 210715	-0.957235933650686	3384	797	7	5	9694000	38
20220520 210811	-0.233356659150023	3486	1130	8	5	9694000	39
20220520 210903	-0.773501138018838	1624	678	7	5	9882000	40
20220520 211027	-0.121760931770857	1851	1	13	5	10138000	41
20220520 211126	-0.494163756563912	3410	982	20	5	9795000	42
20220520 211225	-0.148677848070348	3129	978	20	5	9795000	43
20220520 211308	-0.976961014110879	1852	921	5	5	9731000	44
20220520 211412	-0.911006528516459	1610	713	13	5	9617000	45
20220520 211517	-0.0595763156601035	1614	779	12	5	9457000	46
20220520 211619	-0.325291269439376	1875	301	9	5	10250000	47
20220520 211652	-0.199991444511434	280	138	3	5	8314000	48
20220520 211814	-0.0151900926934366	1955	277	20	5	10031000	49
20220520 211930	-0.148843975015152	1870	231	10	5	10088000	50
20220520 212041	-0.289291271342149	2113	497	12	5	10220000	51
