fecha	num.trees	max.depth	min.node.size	mtry	xval_folds	ganancia	iteracion
20220525 110859	719	18	121	22	5	10388000	1
20220525 122858	1187	21	336	34	5	10575000	2
20220525 141401	2414	12	311	28	5	11446000	3
20220525 160038	1376	26	10	37	5	8404000	4
20220525 162841	1503	6	398	20	5	10949000	5
20220525 180225	1730	9	140	42	5	11237000	6
20220525 183233	1139	17	464	14	5	11795000	7
20220525 184354	471	22	203	12	5	11223000	8
20220525 193245	928	15	240	29	5	11252000	9
20220525 193331	180	3	269	4	5	5918000	10
20220525 222535	2051	28	363	39	5	10082000	11
20220525 225455	1880	10	69	10	5	11758000	12
20220526 002305	1980	7	494	44	5	10843000	13
20220526 005604	642	29	41	24	5	9834000	14
20220526 005955	265	2	172	47	5	9274000	15
20220526 013441	2260	23	417	7	5	11874000	16
20220526 021422	1860	15	439	11	5	11949000	17
20220526 022234	1025	24	500	2	5	10960000	18
20220526 032335	1472	13	500	24	5	11476000	19
20220526 035406	2255	17	256	6	5	11696000	20
20220526 044852	2097	20	494	13	5	11663000	21
20220526 053101	1717	14	284	13	5	11955000	22
20220526 055733	2500	30	500	4	5	11777000	23
20220526 063909	2061	11	316	12	5	11837000	24
20220526 073102	2500	23	444	10	5	11656000	25
20220526 080733	1906	30	359	9	5	11577000	26
20220526 081026	100	30	489	13	5	11242000	27
20220526 082314	2500	1	1	28	5	4216000	28
20220526 084324	646	9	338	23	5	11241000	29
20220526 090055	2179	22	352	2	5	10974000	30
20220526 092718	321	12	345	50	5	10868000	31
20220526 100009	2133	27	500	7	5	11795000	32
20220526 111454	1353	11	406	36	5	11463000	33
20220526 120351	1807	10	373	18	5	11965000	34
20220526 124237	2080	15	1	9	5	11083000	35
20220526 131443	1712	17	398	9	5	12046000	36
20220526 135412	1678	10	202	16	5	11768000	37
20220526 145401	1921	16	384	17	5	11646000	38
20220526 151759	1551	14	362	8	5	11815000	39
20220526 155244	1820	9	500	14	5	11835000	40
20220526 162012	1511	19	415	9	5	12174000	41
20220526 192119	2500	11	250	50	5	11177000	42
20220526 195114	1788	13	155	9	5	11695000	43
20220526 201328	1346	21	450	8	5	11733000	44
20220526 230358	2241	15	386	43	5	10738000	45
20220526 230616	101	19	415	10	5	11459000	46
20220526 231707	100	30	500	50	5	10060000	47
20220526 235020	1665	19	326	10	5	11617000	48
20220527 001339	1575	28	419	7	5	11827000	49
20220527 004731	1548	12	416	13	5	11925000	50
20220527 011730	2058	18	426	7	5	11897000	51
20220527 014729	2500	30	159	5	5	11802000	52
20220527 022603	2319	26	224	8	5	11308000	53
20220527 022707	100	30	139	2	5	10359000	54
20220527 033202	1191	8	269	50	5	10792000	55
20220527 043001	1882	30	500	16	5	11457000	56
20220527 043700	100	10	57	50	5	10822000	57
20220527 045736	2500	30	1	2	5	11568000	58
20220527 054513	2499	9	415	14	5	11542000	59
20220527 061758	1540	19	417	11	5	11682000	60
20220527 063553	1384	19	500	6	5	11719000	61
20220527 065833	728	24	500	16	5	11645000	62
20220527 075516	2148	14	500	15	5	11962000	63
20220527 080707	431	10	500	19	5	11740000	64
