fecha	num.trees	max.depth	min.node.size	mtry	xval_folds	ganancia	iteracion
20220528 015628	3386	28	1760	18	5	11946000	1
20220528 020334	3473	5	2964	14	5	10778000	2
20220528 021358	3437	12	2047	10	5	11497000	3
20220528 022334	3507	17	552	7	5	11877000	4
20220528 024122	3414	14	4517	20	5	11198000	5
20220528 025701	3547	21	4400	16	5	11098000	6
20220528 030412	3396	22	2689	6	5	11211000	7
20220528 031400	3308	10	3051	12	5	11221000	8
20220528 032655	3377	19	2348	11	5	11528000	9
20220528 033714	3496	8	3705	14	5	10856000	10
20220528 035551	3354	29	3402	19	5	11387000	11
20220528 040544	3328	27	953	8	5	11912000	12
20220528 041144	3531	12	1380	4	5	11234000	13
20220528 041918	3459	24	4020	7	5	10897000	14
20220528 042448	3337	6	4803	9	5	10535000	15
20220528 044500	3447	19	1116	17	5	11844000	16
20220528 050354	3431	29	400	15	5	11336000	17
20220528 052404	3301	25	1153	18	5	11769000	18
20220528 054649	3550	30	1558	18	5	11843000	19
20220528 055800	3446	30	400	8	5	11687000	20
20220528 060854	3329	17	851	9	5	12021000	21
20220528 062219	3300	20	1427	12	5	12101000	22
20220528 063555	3371	21	1250	11	5	12075000	23
20220528 064842	3300	24	1557	11	5	12074000	24
20220528 070139	3300	19	1312	10	5	12017000	25
20220528 071740	3344	23	1530	13	5	11870000	26
20220528 073018	3300	17	1017	11	5	12176000	27
20220528 073443	3300	4	930	11	5	10511000	28
20220528 074841	3306	18	571	12	5	12024000	29
20220528 080216	3386	16	1092	12	5	11950000	30
20220528 081525	3300	21	964	11	5	11983000	31
20220528 082851	3485	26	1533	10	5	11756000	32
20220528 084338	3300	18	1227	12	5	12138000	33
20220528 085648	3300	29	1595	11	5	12113000	34
20220528 090408	3300	30	1528	5	5	11628000	35
20220528 091648	3300	27	1404	11	5	12024000	36
20220528 092933	3300	17	1581	11	5	12040000	37
20220528 094730	3300	30	1815	16	5	11807000	38
20220528 100043	3406	18	1018	11	5	12075000	39
20220528 101242	3300	30	1312	10	5	12047000	40
20220528 103436	3300	20	1612	20	5	11673000	41
20220528 104506	3300	29	1796	9	5	11521000	42
20220528 105905	3337	30	1443	12	5	12065000	43
20220528 111115	3300	17	411	10	5	11787000	44
20220528 112012	3302	18	1006	7	5	12003000	45
20220528 112855	3392	24	808	6	5	11723000	46
20220528 114151	3301	18	1162	11	5	12207000	47
20220528 120236	3550	23	1860	18	5	11798000	48
20220528 121944	3300	17	668	15	5	12010000	49
20220528 124043	3300	17	477	18	5	11444000	50
