fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	ganancia	iteracion
20220601 201110	binary	custom	TRUE	TRUE	FALSE	-100	200213	-1	0	0	0	31	39	TRUE	200213	0.141860574427526	0.797769498387352	3032	370	0.0270409223545964	11135000	1
20220601 201131	binary	custom	TRUE	TRUE	FALSE	-100	200213	-1	0	0	0	31	34	TRUE	200213	0.123709743883577	0.614758029542863	3427	425	0.0236410905233546	12035000	2
20220601 201146	binary	custom	TRUE	TRUE	FALSE	-100	200213	-1	0	0	0	31	94	TRUE	200213	0.0705238104177406	0.91001847951673	4278	362	0.0309556177206105	10800000	3
20220601 201201	binary	custom	TRUE	TRUE	FALSE	-100	200213	-1	0	0	0	31	45	TRUE	200213	0.172210384003469	0.541349136019126	2714	179	0.032160691023455	10193000	4
20220601 201215	binary	custom	TRUE	TRUE	FALSE	-100	200213	-1	0	0	0	31	44	TRUE	200213	0.101717125510913	0.414892697995529	6735	1021	0.01922478855995	12763000	5
20220601 201226	binary	custom	TRUE	TRUE	FALSE	-100	200213	-1	0	0	0	31	29	TRUE	200213	0.230985090564936	0.513969108834863	4437	553	0.0411553808905107	8625000	6
20220601 201244	binary	custom	TRUE	TRUE	FALSE	-100	200213	-1	0	0	0	31	70	TRUE	200213	0.0564633271839702	0.59878348980099	6047	608	0.0134755641818629	12564000	7
20220601 201253	binary	custom	TRUE	TRUE	FALSE	-100	200213	-1	0	0	0	31	30	TRUE	200213	0.259161250053556	0.970530492188409	3832	506	0.0333748178352835	9778000	8
20220601 201309	binary	custom	TRUE	TRUE	FALSE	-100	200213	-1	0	0	0	31	82	TRUE	200213	0.0913700668065576	0.363343472192064	7313	628	0.0356333379279628	9997000	9
20220601 201320	binary	custom	TRUE	TRUE	FALSE	-100	200213	-1	0	0	0	31	19	TRUE	200213	0.190683237273479	0.3074444296211	1828	305	0.0172819214562575	12178000	10
20220601 201337	binary	custom	TRUE	TRUE	FALSE	-100	200213	-1	0	0	0	31	13	TRUE	200213	0.204703770306078	0.640195175111294	364	773	0.0155470165952768	9727000	11
20220601 201348	binary	custom	TRUE	TRUE	FALSE	-100	200213	-1	0	0	0	31	12	TRUE	200213	0.243920533732628	0.870693683782592	709	123	0.039415720613033	7365000	12
20220601 201355	binary	custom	TRUE	TRUE	FALSE	-100	200213	-1	0	0	0	31	19	TRUE	200213	0.281627125136438	0.804582609105855	7693	880	0.027319168401785	11646000	13
20220601 201405	binary	custom	TRUE	TRUE	FALSE	-100	200213	-1	0	0	0	31	55	TRUE	200213	0.135142686552485	0.94954739687033	5398	60	0.0487744031381832	7614000	14
