fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	max_bin	num_iterations	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	lambda_l1	lambda_l2	bagging_fraction	min_gain_to_split	ganancia	iteracion
20220603 001233	binary	custom	TRUE	TRUE	FALSE	-100	200213	-1	31	46	TRUE	0.152211319963228	0.906469435995031	1731	813	0.0362522977084693	32.9882408660423	66.0118246463955	0.594332764416726	0.0233001702087931	9779000	1
20220603 001239	binary	custom	TRUE	TRUE	FALSE	-100	200213	-1	31	34	TRUE	0.144872481863131	0.784853717100082	6906	502	0.02953467701828	34.5788416239278	53.1782509914289	0.424995974825126	0.0576678211815306	11160000	2
20220603 001249	binary	custom	TRUE	TRUE	FALSE	-100	200213	-1	31	33	TRUE	0.217837896620299	0.42921554521761	2912	322	0.0334397833528109	48.1330315349624	58.6164496030607	0.58235795354186	0.0266010959745618	9734000	3
20220603 001257	binary	custom	TRUE	TRUE	FALSE	-100	200213	-1	31	1	TRUE	0.171146146918957	0.542709652018837	3508	485	0.0432336178926225	75.3235244198651	46.7626210302114	0.815445753254203	0.0646319713891717	0	4
20220603 001308	binary	custom	TRUE	TRUE	FALSE	-100	200213	-1	31	112	TRUE	0.0965367175678127	0.644271448533982	4773	751	0.0325572983741208	22.6446067164135	57.4118122115679	0.341014513778242	0.017521056789963	10755000	5
20220603 001317	binary	custom	TRUE	TRUE	FALSE	-100	200213	-1	31	23	TRUE	0.236514095709297	0.533116152184084	1080	839	0.0290622812851561	43.0761485360563	42.5232114406147	0.701265851798881	0.0515778591624112	11019000	6
20220603 001325	binary	custom	TRUE	TRUE	FALSE	-100	200213	-1	31	1	TRUE	0.186509764636996	0.456510543771502	2076	181	0.0343192420669732	92.3050094441149	73.9285442066224	0.226788176372389	0.0435495316094602	0	7
20220603 001331	binary	custom	TRUE	TRUE	FALSE	-100	200213	-1	31	40	TRUE	0.190473378711613	0.826377518061135	6161	372	0.038145242463765	45.6575461094164	29.4667553292432	0.284276822142096	0.0868212095123599	9555000	8
20220603 001341	binary	custom	TRUE	TRUE	FALSE	-100	200213	-1	31	47	TRUE	0.243835272044719	0.410091044360565	3952	941	0.0450913546646781	15.2012033808407	26.4224186914766	0.461459111558118	0.0358316783735063	8408000	9
20220603 001353	binary	custom	TRUE	TRUE	FALSE	-100	200213	-1	31	76	TRUE	0.0686384482485785	0.724217815050441	3673	632	0.024361019366673	18.4150381880398	93.5044744071396	0.268958212161023	0.0598725107485079	12055000	10
20220603 001359	binary	custom	TRUE	TRUE	FALSE	-100	200213	-1	31	17	TRUE	0.129908374865125	0.856349688618341	2506	348	0.0166636754810935	67.0567249808098	52.7724691640793	0.770018628979516	0.00211895325290971	11608000	11
20220603 001407	binary	custom	TRUE	TRUE	FALSE	-100	200213	-1	31	67	TRUE	0.100063226326149	0.988471919665527	4326	624	0.0355101221153207	60.1365781221021	39.088369211984	0.913098689194562	0.0898076792797656	8245000	12
