fecha	gamma	alpha	lambda	subsample	tree_method	grow_policy	max_bin	max_leaves	scale_pos_weight	eta	colsample_bytree	min_child_weight	max_depth	prob_corte	nrounds	ganancia	iteracion
20220601 204804	0	0	0	1	auto	depthwise	256	0	1	0.164332459007739	0.753778152382001	1	13	0.037134942941096	9	6272000	1
20220601 205204	0	0	0	1	auto	depthwise	256	0	1	0.17773625600501	0.473560194885358	5	20	0.0249222916352058	11	10693000	2
20220601 210333	0	0	0	1	auto	depthwise	256	0	1	0.0814242291585542	0.672677920665592	1	18	0.0308803940972818	54	6858000	3
20220601 210700	0	0	0	1	auto	depthwise	256	0	1	0.151397994045517	0.243744378639385	2	26	0.0203013594024621	16	8844000	4
20220601 210931	0	0	0	1	auto	depthwise	256	0	1	0.27048061823938	0.402205946855247	8	14	0.018403338601153	11	11444000	5
20220601 211610	0	0	0	1	auto	depthwise	256	0	1	0.21873614814633	0.953707071933895	7	17	0.0423620242916513	20	6494000	6
20220601 212219	0	0	0	1	auto	depthwise	256	0	1	0.0965780641939491	0.803415136998519	9	11	0.0406074928798868	28	9133000	7
20220601 212756	0	0	0	1	auto	depthwise	256	0	1	0.138931994059007	0.544657244235277	7	29	0.0327938708399112	21	8950000	8
20220601 213209	0	0	0	1	auto	depthwise	256	0	1	0.198945235137129	0.630521733714268	0	21	0.0461173751444827	1	2551000	9
20220601 221636	0	0	0	1	auto	depthwise	256	0	1	0.182057386782137	0.601925941379741	2	26	0.0216335841963883	8	9168000	10
20220601 222141	0	0	0	1	auto	depthwise	256	0	1	0.150663318234263	0.698095769658685	5	12	0.0410223284188154	22	8075000	11
20220601 222922	0	0	0	1	auto	depthwise	256	0	1	0.102393692019978	0.79736899507232	8	20	0.0145796550098263	21	12440000	12
20220601 223208	0	0	0	1	auto	depthwise	256	0	1	0.242606656706426	0.437180968327448	7	12	0.027319960372309	16	11418000	13
20220601 223724	0	0	0	1	auto	depthwise	256	0	1	0.199146890866687	0.6453158754576	3	17	0.034921442613025	15	7803000	14
20220601 224232	0	0	0	1	auto	depthwise	256	0	1	0.270148049496929	0.935953352395445	9	19	0.0387164747987602	7	8624000	15
20220601 224617	0	0	0	1	auto	depthwise	256	0	1	0.188066538858111	0.344308831738308	4	29	0.0299052136872585	17	8531000	16
20220601 225059	0	0	0	1	auto	depthwise	256	0	1	0.0660496243649395	0.364012749185786	9	14	0.015773823512427	41	12808000	17
20220601 230512	0	0	0	1	auto	depthwise	256	0	1	0.0689995903909439	0.85874338506721	0	21	0.0366226409595887	19	808000	18
20220601 230759	0	0	0	1	auto	depthwise	256	0	1	0.0449351355719846	0.31286655346863	3	3	0.0331245170818875	153	11552000	19
20220601 231427	0	0	0	1	auto	depthwise	256	0	1	0.225362236690009	0.892145133046433	6	29	0.0266386575206222	9	10089000	20
20220601 232502	0	0	0	1	auto	depthwise	256	0	1	0.0355608801968629	0.805323234191164	3	6	0.0234815628704382	139	12543000	21
20220601 232736	0	0	0	1	auto	depthwise	256	0	1	0.271377023488167	0.562681468063965	1	5	0.0204798201482239	55	9693000	22
20220601 232952	0	0	0	1	auto	depthwise	256	0	1	0.124941643159837	0.227346078045666	8	9	0.0490190953695371	53	7347000	23
20220601 233353	0	0	0	1	auto	depthwise	256	0	1	0.157089904539287	0.736653544297442	9	10	0.0183532002808837	16	12299000	24
20220601 233755	0	0	0	1	auto	depthwise	256	0	1	0.134803448677529	0.454927906561643	0	15	0.0469607657408536	6	979000	25
20220601 234005	0	0	0	1	auto	depthwise	256	0	1	0.286276162018068	0.275241503864527	6	24	0.0117689696591697	7	10056000	26
20220601 234614	0	0	0	1	auto	depthwise	256	0	1	0.0919094753330573	0.482572459373623	10	27	0.0438537449852447	49	8059000	27
20220602 003156	0	0	0	1	auto	depthwise	256	0	1	0.0104007093695691	0.554783922377974	1	23	0.0092010353502701	165	12270000	28
20220602 003419	0	0	0	1	auto	depthwise	256	0	1	0.241261391242268	0.975286659579724	4	3	0.0423321381191878	47	9054000	29
20220602 004857	0	0	0	1	auto	depthwise	256	0	1	0.0101085521980791	0.444198155774988	4	2	0.011817358340076	1316	13152000	30
20220602 010331	0	0	0	1	auto	depthwise	256	0	1	0.0100482862859212	0.522537654202237	6	2	0.0221149027453372	1139	12242000	31
20220602 011147	0	0	0	1	auto	depthwise	256	0	1	0.0105103736149523	0.33225620555779	2	5	0.0083454707540529	36	12546000	32
20220602 015026	0	0	0	1	auto	depthwise	256	0	1	0.0100212112901206	0.845908981484291	3	14	0.00854923311582488	54	12226000	33
20220602 020524	0	0	0	1	auto	depthwise	256	0	1	0.0101904773598323	0.394476802638022	3	2	0.0174573144541057	1495	13351000	34
20220602 022700	0	0	0	1	auto	depthwise	256	0	1	0.0113063805483311	0.386207361145229	4	9	0.0164231337107097	370	13311000	35
20220602 023024	0	0	0	1	auto	depthwise	256	0	1	0.0748252384861826	0.310231282992828	4	2	0.0231180368975929	393	12548000	36
20220602 030645	0	0	0	1	auto	depthwise	256	0	1	0.0100718623553369	0.56853047469313	10	30	0.0126623492355999	263	12978000	37
20220602 032627	0	0	0	1	auto	depthwise	256	0	1	0.0103776792284563	0.556399274811124	10	12	0.0083395558376646	31	12141000	38
20220602 035911	0	0	0	1	auto	depthwise	256	0	1	0.0100777152562425	0.562319051221436	10	21	0.019015236124227	213	12786000	39
20220602 043206	0	0	0	1	auto	depthwise	256	0	1	0.0100080813654329	0.548646828291229	3	6	0.0147252679417911	844	13149000	40
20220602 045606	0	0	0	1	auto	depthwise	256	0	1	0.0106413408224342	0.999300028537907	4	4	0.0178121933275325	386	13128000	41
20220602 052734	0	0	0	1	auto	depthwise	256	0	1	0.0100038464913899	0.425768417350135	8	30	0.0164074172558409	259	13082000	42
20220602 062934	0	0	0	1	auto	depthwise	256	0	1	0.0101059546188206	0.998110631796126	9	30	0.0164289167645671	227	12892000	43
20220602 065754	0	0	0	1	auto	depthwise	256	0	1	0.0100083738273663	0.642458234636191	4	3	0.0179751887067333	1449	12928000	44
20220602 071431	0	0	0	1	auto	depthwise	256	0	1	0.0100100592314441	0.20820979916543	3	28	0.00956673676792857	48	12006000	45
20220602 075927	0	0	0	1	auto	depthwise	256	0	1	0.0100370413565844	0.999589332096387	8	9	0.016888132770346	339	13128000	46
20220602 081517	0	0	0	1	auto	depthwise	256	0	1	0.0113610437470971	0.999504896351568	8	2	0.0272553097047269	643	11761000	47
20220602 083557	0	0	0	1	auto	depthwise	256	0	1	0.0100649295304459	0.204150128733846	7	9	0.0136984197532902	855	13061000	48
20220602 084710	0	0	0	1	auto	depthwise	256	0	1	0.0100545786046502	0.200220756882743	3	4	0.0158239796621117	811	13174000	49
20220602 091605	0	0	0	1	auto	depthwise	256	0	1	0.010006153931694	0.434457088724873	8	13	0.0138587202981862	385	13155000	50
20220602 093025	0	0	0	1	auto	depthwise	256	0	1	0.0100350161439436	0.200549620130479	10	29	0.0162164059231973	228	13122000	51
20220602 101122	0	0	0	1	auto	depthwise	256	0	1	0.0101266239164918	0.999674478918793	7	11	0.0135991123999426	157	12546000	52
20220602 102756	0	0	0	1	auto	depthwise	256	0	1	0.0100305530311564	0.241965574098998	8	8	0.0171251117662824	528	13030000	53
20220602 105126	0	0	0	1	auto	depthwise	256	0	1	0.0100042136728741	0.265967112905634	9	24	0.012807428237869	401	13055000	54
20220602 111840	0	0	0	1	auto	depthwise	256	0	1	0.0100006566835586	0.442629023419045	9	27	0.0162218107541832	183	13002000	55
20220602 121153	0	0	0	1	auto	depthwise	256	0	1	0.0102314397250633	0.999053538536219	10	10	0.0167007449619677	468	13163000	56
20220602 122454	0	0	0	1	auto	depthwise	256	0	1	0.0100258134830605	0.381672704095524	3	2	0.0153974729840425	1268	13078000	57
20220602 123350	0	0	0	1	auto	depthwise	256	0	1	0.119218578918449	0.99896205441817	10	30	0.0176796099910036	24	12220000	58
20220602 125444	0	0	0	1	auto	depthwise	256	0	1	0.0100150701398592	0.397268964979821	3	7	0.0180895679812538	450	13002000	59
20220602 125605	0	0	0	1	auto	depthwise	256	0	1	0.197227809200614	0.200145608236164	10	2	0.0337955496525483	167	11167000	60
20220602 131539	0	0	0	1	auto	depthwise	256	0	1	0.0102686503330591	0.924999470049509	2	2	0.0168750303539151	929	12762000	61
20220602 134023	0	0	0	1	auto	depthwise	256	0	1	0.0100541429660597	0.463267204580455	3	13	0.0121175045396402	115	12865000	62
20220602 134256	0	0	0	1	auto	depthwise	256	0	1	0.29125707356336	0.99987908604156	5	2	0.0302892808088885	103	10896000	63
20220602 135756	0	0	0	1	auto	depthwise	256	0	1	0.0102205339400232	0.45510585631993	4	5	0.0167812340618322	339	13463000	64
20220602 145759	0	0	0	1	auto	depthwise	256	0	1	0.0100779863012954	0.999934290528709	10	14	0.0229346170807509	410	11978000	65
20220602 151253	0	0	0	1	auto	depthwise	256	0	1	0.0102358211605819	0.396212256540897	10	6	0.0134583640320134	336	13043000	66
20220602 151903	0	0	0	1	auto	depthwise	256	0	1	0.0105105559192879	0.212930896156115	3	2	0.0262478751468965	658	12392000	67
20220602 153318	0	0	0	1	auto	depthwise	256	0	1	0.0108945227232509	0.314633639228576	5	5	0.016898919410003	585	13662000	68
20220602 154728	0	0	0	1	auto	depthwise	256	0	1	0.0100967141389229	0.20420001285773	5	7	0.0132793670546137	557	13200000	69
20220602 161436	0	0	0	1	auto	depthwise	256	0	1	0.0101178478305199	0.422732440210475	10	19	0.0142425805857394	284	13215000	70
20220602 161826	0	0	0	1	auto	depthwise	256	0	1	0.0608205841588222	0.366765609785282	5	4	0.0169294424015047	174	12951000	71
20220602 164105	0	0	0	1	auto	depthwise	256	0	1	0.0100781373499728	0.34006380598115	6	18	0.0167744752178645	191	12811000	72
20220602 165052	0	0	0	1	auto	depthwise	256	0	1	0.0100527280349491	0.203781029187155	6	2	0.0322698111711452	1397	11887000	73
20220602 173617	0	0	0	1	auto	depthwise	256	0	1	0.010181599324682	0.999092066722614	0	5	0.0104224150748648	801	12706000	74
20220602 173742	0	0	0	1	auto	depthwise	256	0	1	0.299835203416989	0.200485161815498	10	10	0.0235816254237828	20	10278000	75
20220602 174056	0	0	0	1	auto	depthwise	256	0	1	0.299650485534417	0.999575226705465	0	5	0.00834019442126761	28	11775000	76
20220602 174239	0	0	0	1	auto	depthwise	256	0	1	0.299851391378717	0.994832312701465	10	3	0.0113520579673889	18	11982000	77
20220602 230356	0	0	0	1	auto	depthwise	256	0	1	0.010184375474505	0.983594951783942	2	30	0.0120202772987379	109	12490000	78
20220602 230501	0	0	0	1	auto	depthwise	256	0	1	0.299134593318257	0.201714859058332	10	4	0.0234784828628532	49	11824000	79
20220602 230627	0	0	0	1	auto	depthwise	256	0	1	0.299970668931776	0.998459350330767	10	2	0.0118442291504858	33	12219000	80
20220602 230744	0	0	0	1	auto	depthwise	256	0	1	0.250923516375483	0.200083026917347	10	9	0.0113273204925162	19	11367000	81
20220602 232930	0	0	0	1	auto	depthwise	256	0	1	0.010234098184485	0.999262045789584	3	4	0.0120624048568832	279	13113000	82
