fecha	gamma	alpha	lambda	subsample	tree_method	grow_policy	max_bin	max_depth	scale_pos_weight	eta	colsample_bytree	min_child_weight	max_leaves	prob_corte	nrounds	ganancia	iteracion
20220601 204206	0	0	0	1	hist	lossguide	256	0	1	0.169208890077891	0.420285700950772	4	435	0.0234827933410998	9	10354000	1
20220601 204256	0	0	0	1	hist	lossguide	256	0	1	0.117955419874168	0.820469323815778	9	569	0.0455068483099846	25	6556000	2
20220601 204333	0	0	0	1	hist	lossguide	256	0	1	0.181248088750523	0.720341155100614	5	634	0.0391161847224187	16	6848000	3
20220601 204611	0	0	0	1	hist	lossguide	256	0	1	0.0181499941257061	0.501512718917802	6	252	0.0197356355686982	131	12055000	4
20220601 204647	0	0	0	1	hist	lossguide	256	0	1	0.137163234096137	0.567750377655029	8	108	0.026376360784828	16	10252000	5
20220601 204801	0	0	0	1	hist	lossguide	256	0	1	0.046516192142386	0.389950325200334	6	273	0.0416241757314613	57	8485000	6
20220601 204831	0	0	0	1	hist	lossguide	256	0	1	0.194895559495548	0.709905775235966	10	816	0.031244499667567	13	9094000	7
20220601 204900	0	0	0	1	hist	lossguide	256	0	1	0.26049468375172	0.538660907745361	7	526	0.0182119049830362	8	11410000	8
20220601 204947	0	0	0	1	hist	lossguide	256	0	1	0.148822754680063	0.619237475022674	1	370	0.0208376819617115	5	7617000	9
20220601 205030	0	0	0	1	hist	lossguide	256	0	1	0.214832167490618	0.937132165338844	1	892	0.0356856650173237	3	6037000	10
20220601 205114	0	0	0	1	hist	lossguide	256	0	1	0.105388502208283	0.267147361533716	5	859	0.0489312608411031	21	6633000	11
20220601 205210	0	0	0	1	hist	lossguide	256	0	1	0.0637026704265736	0.313887696219608	4	767	0.0105734505482057	10	11952000	12
20220601 220318	0	0	0	1	hist	lossguide	256	0	1	0.106600576501456	0.806648264732212	4	627	0.0336118918222686	24	8257000	13
20220601 220353	0	0	0	1	hist	lossguide	256	0	1	0.167253470207215	0.770890005677938	3	180	0.0253511922885082	11	7938000	14
20220601 220429	0	0	0	1	hist	lossguide	256	0	1	0.197576894730679	0.572295121988282	6	447	0.0200906429022628	16	10740000	15
20220601 220530	0	0	0	1	hist	lossguide	256	0	1	0.0663283565269085	0.608295569485053	7	679	0.0294756563011712	33	9649000	16
20220601 220558	0	0	0	1	hist	lossguide	256	0	1	0.210825450453442	0.469303351631388	5	287	0.0445506705713342	10	6863000	17
20220601 220638	0	0	0	1	hist	lossguide	256	0	1	0.123422068637563	0.357694659158587	3	398	0.0317871465881278	18	7708000	18
20220601 220713	0	0	0	1	hist	lossguide	256	0	1	0.129118881390779	0.899853060478345	6	961	0.0126635924408523	18	11373000	19
20220601 220813	0	0	0	1	hist	lossguide	256	0	1	0.0455054484049324	0.865639440212399	1	42	0.0109091281386403	45	11800000	20
20220601 220851	0	0	0	1	hist	lossguide	256	0	1	0.265580750109046	0.662748899674043	7	791	0.0278145312137591	5	9895000	21
20220601 220935	0	0	0	1	hist	lossguide	256	0	1	0.248953949972987	0.705686189094558	1	897	0.0397539489727933	3	6444000	22
20220601 221108	0	0	0	1	hist	lossguide	256	0	1	0.0268696924780961	0.941882963208482	8	589	0.042371598824199	86	7488000	23
20220601 221145	0	0	0	1	hist	lossguide	256	0	1	0.216928234131192	0.487680963445455	0	130	0.0385406060959213	2	2463000	24
20220601 221656	0	0	0	1	hist	lossguide	256	0	1	0.019725762048387	0.251828153450042	0	246	0.022212408776007	294	945000	25
20220601 221730	0	0	0	1	hist	lossguide	256	0	1	0.151166162786074	0.383030150737613	10	489	0.00999390508804936	42	11577000	26
20220601 221758	0	0	0	1	hist	lossguide	256	0	1	0.284184423439321	0.282079746210948	5	350	0.0184634410174719	13	9619000	27
20220601 221846	0	0	0	1	hist	lossguide	256	0	1	0.0706549576099496	0.437240696037188	9	754	0.046838343378234	54	7155000	28
20220601 221915	0	0	0	1	hist	lossguide	256	0	1	0.174655226769275	0.54643558097072	9	68	0.0355535799972131	18	9129000	29
20220601 221942	0	0	0	1	hist	lossguide	256	0	1	0.285845119376318	0.996928211599588	9	857	0.0153256439618417	16	11729000	30
20220601 222013	0	0	0	1	hist	lossguide	256	0	1	0.229724121916341	0.232759984182194	4	986	0.0489159716157398	15	6344000	31
20220601 222105	0	0	0	1	hist	lossguide	256	0	1	0.0930028624278493	0.728571261605248	2	534	0.0236357712482762	19	8167000	32
20220601 222145	0	0	0	1	hist	lossguide	256	0	1	0.0620108468151174	0.988243649548572	4	3	0.00835983027275189	95	11836000	33
20220601 222216	0	0	0	1	hist	lossguide	256	0	1	0.204115289936224	0.767883580046717	8	454	0.0083628268932461	22	11186000	34
20220601 222406	0	0	0	1	hist	lossguide	256	0	1	0.0295353644466421	0.998249750705563	2	325	0.00833476248113355	17	11927000	35
