Feature	Gain	Cover	Frequency
ctrx_quarter	0.0973576612319261	0.0259035025774801	0.0284243048403708
mtarjeta_visa_consumo	0.0820821373696298	0.0159396720957629	0.0199794026776519
mpasivos_margen	0.0632970720055499	0.0222874129183777	0.0261585993820803
mcaja_ahorro	0.0521871653753255	0.0211590921216604	0.0325437693099897
mpayroll	0.0517468664130414	0.0317258932934802	0.0125643666323378
cpayroll_trx	0.03707606967306	0.0136824269839071	0.00411946446961895
mactivos_margen	0.0238179966376321	0.0272013156904443	0.0239958805355304
mcuentas_saldo	0.0234311493002108	0.0295266265227176	0.029557157569516
cliente_edad	0.0217024010815784	0.0216706931657574	0.0297631307929969
Master_fechaalta	0.0189734062525586	0.0240772761215452	0.027600411946447
mrentabilidad_annual	0.0188337839257753	0.0165729150670047	0.0218331616889804
mcuenta_corriente	0.0186659191826938	0.0117991553582191	0.0184346035015448
mprestamos_personales	0.0185938239554046	0.0182019532899057	0.00710607621009269
Visa_msaldototal	0.0180141213149438	0.00917752205276597	0.0126673532440783
mrentabilidad	0.0155615450338543	0.0125950135786573	0.0205973223480947
mcomisiones_otras	0.015228068499209	0.0131522081572564	0.02173017507724
Master_Fvencimiento	0.015010609430393	0.0171404201745964	0.0218331616889804
Visa_fechaalta	0.0150096451471373	0.0135104952360589	0.0231719876416066
ctarjeta_visa_trx	0.0144971501257676	0.0218769189603579	0.0221421215242019
chomebanking_trx	0.0143257426758827	0.0112992950296251	0.017816683831102
Visa_mpagospesos	0.0141970195622222	0.0146333285795692	0.0249227600411946
Visa_Fvencimiento	0.0141207056395343	0.0130497165289191	0.0219361483007209
Visa_msaldopesos	0.0139265650357471	0.0148604442260733	0.0183316168898043
mcomisiones	0.0133554134301114	0.0125614194104102	0.0174047373841401
Master_mfinanciacion_limite	0.0120298311148317	0.0113108886692104	0.0199794026776519
numero_de_cliente	0.0118441855725491	0.0121673472393445	0.0194644696189495
cprestamos_personales	0.0117148564140074	0.00548062178423577	0.00308959835221421
mcaja_ahorro_dolares	0.0112800116025277	0.0166075286235094	0.0193614830072091
cliente_antiguedad	0.0111719012494593	0.0123342530480723	0.0182286302780639
Visa_mfinanciacion_limite	0.0109506523622233	0.0134141554383501	0.0185375901132853
Master_mlimitecompra	0.0103971846839133	0.0111581072201698	0.0151390319258496
ccomisiones_otras	0.00841674116917524	0.0131756439440122	0.0134912461380021
mtransferencias_emitidas	0.00813008342881266	0.0122886392272368	0.013697219361483
mcomisiones_mantenimiento	0.00770654290124697	0.0130148950374962	0.00865087538619979
Visa_mlimitecompra	0.00766344030165049	0.0103953410812251	0.0125643666323378
mtarjeta_visa_debitos_automaticos	0.00764613272166373	0.0106751961232005	0.0146240988671473
mtransferencias_recibidas	0.00764453196754425	0.00720315464657454	0.0125643666323378
cproductos	0.0074695070636557	0.00758379219329143	0.00834191555097837
ccomisiones_mantenimiento	0.00744877923144025	0.0171816166463161	0.00762100926879506
Visa_mconsumospesos	0.00741252724126366	0.00859360530138696	0.0146240988671473
Visa_mpagominimo	0.0073426926930077	0.0108171852428284	0.0143151390319259
Visa_cconsumos	0.00722783127492812	0.00836157529059666	0.0127703398558187
mautoservicio	0.00693548163385427	0.0157970845292972	0.0193614830072091
cextraccion_autoservicio	0.00684402093095799	0.00521259874626402	0.0062821833161689
mpagomiscuentas	0.00552660929810243	0.0112190828670351	0.00988671472708548
ctransferencias_recibidas	0.00504557306893947	0.0135988422183755	0.00937178166838311
Visa_mconsumototal	0.004923507709563	0.00583425314950399	0.0101956745623069
thomebanking	0.0049229789186	0.00544177852720002	0.00381050463439753
mextraccion_autoservicio	0.00470159209020869	0.0108241079541294	0.0129763130792997
Master_mpagospesos	0.00438771612071395	0.0136782327844595	0.0082389289392379
mcuenta_debitos_automaticos	0.00435986586977862	0.0103393609439799	0.0111225540679712
ctarjeta_visa_debitos_automaticos	0.00422322390197077	0.00610362522865234	0.00648815653964985
ccaja_ahorro	0.0041907029741264	0.0113153415194099	0.00473738414006179
ctransferencias_emitidas	0.00416819380616105	0.0131944848762341	0.00669412976313079
Visa_mpagado	0.00405398494058996	0.0100493576636798	0.00669412976313079
ctarjeta_debito_trx	0.00397816502588551	0.00948312045193082	0.0147270854788877
ccallcenter_trx	0.00396073407365533	0.00868949372817571	0.00298661174047374
Master_mpagominimo	0.00387516544494606	0.00588576522179961	0.005870236869207
Master_msaldopesos	0.00374369433025241	0.00670118961088175	0.00556127703398558
Master_status	0.00361644537374032	0.0107374548806585	0.00164778578784758
mdescubierto_preacordado	0.00359632386414826	0.00690337335353582	0.0023686920700309
ccuenta_debitos_automaticos	0.0033834383581883	0.00845084022950335	0.00885684860968074
Master_msaldototal	0.00305299006456675	0.00363124355021385	0.00473738414006179
cpagomiscuentas	0.00286828234638786	0.00462146513174858	0.00463439752832132
tcallcenter	0.00274661493321849	0.0024065930989545	0.00113285272914521
ctarjeta_debito	0.00270684883685001	0.00285847624886219	0.0043254376930999
Visa_mconsumosdolares	0.00242148192279713	0.00201545737466038	0.00422245108135942
ccajas_consultas	0.00239930293298407	0.0101901498896322	0.00185375901132853
mplazo_fijo_dolares	0.00237202939436155	0.0156070269424824	0.00298661174047374
Visa_mpagosdolares	0.00221338360970274	0.00638304411445793	0.00442842430484037
ctarjeta_master	0.00220870175642669	0.000713226912580306	0.00123583934088569
cmobile_app_trx	0.0020878216237955	0.00288930640417233	0.00288362512873327
Master_mconsumospesos	0.00199256138726641	0.00350592979670862	0.00442842430484037
Visa_fultimo_cierre	0.00170457724800042	0.00168157475503745	0.00257466529351184
Master_fultimo_cierre	0.00165774132534849	0.00294112277147019	0.00370751802265705
cseguro_accidentes_personales	0.00151978516604786	0.00798519280232774	0.00267765190525232
internet	0.00136619314324781	0.00253605033607354	0.000720906282183316
ccaja_seguridad	0.00135440323919725	0.00733740960156221	0.00144181256436663
Master_mconsumototal	0.00126484479059326	0.00276925695420583	0.00278063851699279
catm_trx	0.00125339336145019	0.00545858575449033	0.00308959835221421
Master_cconsumos	0.00118718213389468	0.0023511049052963	0.00257466529351184
mtarjeta_master_consumo	0.00113323920983989	0.0016516625563174	0.00185375901132853
Visa_delinquency	0.00111883054429438	0.00191812861819437	0.000720906282183316
Visa_status	0.00104181437912241	0.00497663825836147	0.00113285272914521
ctarjeta_master_trx	0.000882717306754834	0.00254890679991812	0.00123583934088569
matm	0.000878689479159985	0.00370631819884948	0.00453141091658084
Visa_Finiciomora	0.000749119705084601	0.0014893566737067	0.000411946446961895
cinversion1	0.000721824696609024	0.0063688487526035	0.00082389289392379
tmobile_app	0.000678132938869114	0.00669512906875383	0.00102986611740474
mttarjeta_master_debitos_automaticos	0.000638995520941617	0.0023168463596276	0.00133882595262616
Visa_msaldodolares	0.00059493306372982	0.00232317062409079	0.00175077239958805
ccajas_trx	0.000586771182609283	0.00241534665185223	0.00082389289392379
tpaquete9	0.000557253430663233	0.00340633404247593	0.00102986611740474
ctarjeta_visa	0.000548707741706082	0.00141053412496016	0.00082389289392379
mtarjeta_visa_descuentos	0.000465068978601882	0.0044016627084649	0.00205973223480947
active_quarter	0.000449941473883147	0.000298198959027084	0.000720906282183316
cseguro_vivienda	0.000443606792137282	0.000373826410250116	0.000617919670442842
matm_other	0.000404693380583014	0.00143789024566141	0.00175077239958805
tpaquete7	0.000398465059532302	0.00485741040490102	0.000720906282183316
Master_mpagado	0.000364618515777329	0.00451273545586536	0.000926879505664264
Master_mpagosdolares	0.000347112269099694	0.000256865554556341	0.00082389289392379
Master_mconsumosdolares	0.000323753713812127	0.000270492899073259	0.00113285272914521
mcheques_emitidos	0.00032255625719391	0.00161669906056018	0.000205973223480947
cplazo_fijo	0.000297064520949682	0.00155480545710485	0.000411946446961895
ccajas_extracciones	0.000289209920195038	0.00271065987994142	0.000617919670442842
mcaja_ahorro_adicional	0.000273931776103477	0.00150075252154054	0.000514933058702369
ctarjeta_visa_descuentos	0.000231420663695946	0.00182316829116244	0.000926879505664264
tpaquete1	0.000226257068452259	0.00477356191703417	0.000617919670442842
minversion1_pesos	0.000222908496869762	0.00158648256683789	0.000205973223480947
ccheques_depositados	0.000188419023457963	0.00396508052558644	0.000514933058702369
ccheques_emitidos	0.000171783208683953	0.000808349530280091	0.000102986611740474
Master_msaldodolares	0.000153800938669618	0.00014742585700123	0.000205973223480947
ctarjeta_master_debitos_automaticos	0.000128773634248414	0.000962611881664948	0.000411946446961895
minversion2	0.000128640819034528	0.00242504859084027	0.000308959835221421
cforex	0.000121904015382134	0.000201113638562859	0.000205973223480947
cseguro_vida	9.91300608811697e-05	0.000284231818424332	0.000308959835221421
cseguro_auto	9.83222065422448e-05	0.00237995714309188	0.000308959835221421
mforex_sell	8.35795240180398e-05	0.000150352160606091	0.000205973223480947
Visa_madelantodolares	7.78380896730136e-05	4.4315495492681e-05	0.000102986611740474
ccajeros_propios_descuentos	5.88866762705565e-05	0.00161669906056018	0.000205973223480947
Master_delinquency	5.79605547558288e-05	3.78695130285934e-05	0.000102986611740474
catm_trx_other	5.23938741676617e-05	0.000234895455394714	0.000308959835221421
Visa_madelantopesos	3.69183759391083e-05	0.000189144701808141	0.000308959835221421
mcajeros_propios_descuentos	1.99008587480322e-05	0.000364834492933966	0.000205973223480947
cforex_sell	5.08180277871672e-06	0.00021160167297335	0.000102986611740474
Master_cadelantosefectivo	6.29861193881436e-12	1.73701730444532e-05	0.000102986611740474
Master_madelantopesos	5.41677719525564e-13	1.94748801432702e-05	0.000102986611740474
Master_madelantodolares	2.8559996778595e-14	2.73206196176554e-05	0.000102986611740474
