Feature	Gain	Cover	Frequency
ctrx_quarter	0.16494394925147	0.0157997895059179	0.0134781539758359
mtarjeta_visa_consumo	0.044290982050736	0.0117537558681903	0.0157084152851925
mcaja_ahorro	0.0436055115834419	0.0070061830737135	0.0117835066029784
mcuentas_saldo	0.0416981449713263	0.0140127952400826	0.0192557600449565
ctrx_quarter_lag1	0.028383732342141	0.00733456230788886	0.00860494520932846
cpayroll_trx	0.0218568403117604	0.00862574069931711	0.00452198651306547
mdescubierto_preacordado	0.0215390928250954	0.001141555911044	0.00151025568980051
foto_mes	0.0198645980172506	0.0153765538425716	0.0160596375386344
ctarjeta_visa	0.0166873147680731	0.000625100097978959	0.000720005619556055
mprestamos_personales	0.0156360626170996	0.00788263797712049	0.00338929474571509
mpayroll	0.0142008256311847	0.0115446157709547	0.00567223939308795
mcuenta_corriente	0.0118340951146935	0.00662848100170683	0.00989568699072773
mdescubierto_preacordado_delta1	0.0116173985592735	0.00372895369034467	0.00095708064062939
Visa_fultimo_cierre_lag1	0.0107330811773989	0.00249744467551846	0.00583906996347289
Master_status	0.0101974564813996	0.00142665222295868	0.000605858387187412
mpasivos_margen	0.00992745811101107	0.00920589494957251	0.0106156926102838
ctrx_quarter_delta1	0.00882423524853899	0.00782030384630722	0.0119152149480191
mrentabilidad_annual	0.00881902918056194	0.0080403133719896	0.0115113093565608
numero_de_cliente	0.00870953155042242	0.00976415352962965	0.0171572070806406
mactivos_margen	0.00829225252616218	0.00795618180900042	0.0135396178701883
cliente_edad_lag1	0.00812872957880805	0.00949603486127722	0.0145142596234897
cproductos_delta1	0.00802745846087694	0.00453295908596766	0.00133464456307952
cliente_edad	0.0080267842337999	0.0074706957047539	0.0129161983703287
ctarjeta_visa_trx	0.00790133425917766	0.00599024870830067	0.0110635009834223
mrentabilidad_annual_delta1	0.00783509188244301	0.00678146539701413	0.0128810761449845
mprestamos_personales_delta1	0.00680665462864185	0.00950772319514011	0.00353856420342793
Master_fechaalta	0.00663235771401642	0.00941035009619693	0.0119854593987075
Visa_fechaalta_lag1	0.00656559862001209	0.00455447895553179	0.00975519808935094
Visa_Fvencimiento	0.00627405318179167	0.00810523936332955	0.0116430177016016
Master_Fvencimiento	0.00612246873934155	0.00608178326813364	0.0108791093003653
mcuenta_corriente_lag1	0.00598202014407054	0.00717575422785664	0.0103434953638663
Master_Fvencimiento_lag1	0.00593810060850596	0.00456128080918517	0.0113181371171677
Visa_Fvencimiento_lag1	0.00589760419954582	0.00468219160045347	0.0107913037370048
Visa_fechaalta	0.00577757695888255	0.0046600758709597	0.00983422309637539
mrentabilidad	0.0056852615725303	0.00475972414106063	0.00842055352627143
chomebanking_trx	0.00552787437448642	0.00454133718898005	0.00956202584995785
mcaja_ahorro_dolares_delta1	0.00548326248394491	0.00657235424285923	0.00608492554088227
mcuentas_saldo_delta1	0.00541757640412303	0.00862272602479254	0.0102644703568418
Visa_status	0.00533528362312359	0.00108855109988487	0.000649761168867659
Master_fechaalta_lag1	0.0050539116539221	0.00538816004393487	0.0101327620118011
mrentabilidad_annual_lag1	0.00503085330927057	0.00685714917920424	0.00923714526552402
mcaja_ahorro_lag1	0.00500628318497061	0.00604441507113454	0.00959714807530205
mactivos_margen_lag1	0.00468286438457234	0.00670358377835258	0.0080254284911492
mcomisiones_mantenimiento	0.00467860947797573	0.00646625028753745	0.00467125597077831
mprestamos_personales_lag1	0.00466385052225568	0.00307531142700769	0.00174733071087384
ccaja_ahorro	0.00464526380653103	0.00360394913768614	0.00290636414723237
mcaja_ahorro_delta1	0.00461981041847582	0.00695835708319197	0.00820103961787019
Visa_mpagominimo	0.00456451234378601	0.00623259754494619	0.00922836470918797
mcuenta_corriente_delta1	0.00449669282425735	0.00776124089615632	0.00841177296993538
mtransferencias_recibidas	0.00448521835796376	0.00461438339895265	0.00695420061815117
mrentabilidad_delta1	0.00440504451494495	0.00417982991911686	0.00780591458274796
mactivos_margen_delta1	0.00439870114449488	0.00417378517969946	0.00778835347007586
cliente_antiguedad_lag1	0.00439094613424613	0.00474480589722441	0.0087717757797134
Visa_mpagospesos_lag1	0.00416034825921638	0.00484054570290629	0.00831518685023883
Visa_mlimitecompra_lag1	0.00408551390063248	0.00378708609748284	0.00448686428772127
Visa_mfinanciacion_limite	0.00396859620242674	0.00451270451906834	0.00604980331553807
