fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	ganancia	iteracion
20220521 193636	binary	custom	TRUE	TRUE	FALSE	-100	280108	-1	0	0	0	31	48	TRUE	0.124052528775879	0.662622307855636	1178	396	0.0371342963417798	8262000	1
20220521 193705	binary	custom	TRUE	TRUE	FALSE	-100	280108	-1	0	0	0	31	40	TRUE	0.204596243240056	0.764700565123931	4461	498	0.0337693571132453	9481000	2
20220521 193742	binary	custom	TRUE	TRUE	FALSE	-100	280108	-1	0	0	0	31	26	TRUE	0.14296260564751	0.312294817743823	2773	431	0.0289542635383744	10975000	3
20220521 193839	binary	custom	TRUE	TRUE	FALSE	-100	280108	-1	0	0	0	31	104	TRUE	0.0625948456072947	0.827408224800602	4349	578	0.048405001241675	7727000	4
20220521 193907	binary	custom	TRUE	TRUE	FALSE	-100	280108	-1	0	0	0	31	36	TRUE	0.232766427477938	0.526497630532831	5440	304	0.0392521193949506	8678000	5
20220521 193932	binary	custom	TRUE	TRUE	FALSE	-100	280108	-1	0	0	0	31	33	TRUE	0.18761634134769	0.42618338287808	7833	318	0.0131243050142075	12747000	6
20220521 194005	binary	custom	TRUE	TRUE	FALSE	-100	280108	-1	0	0	0	31	51	TRUE	0.134053288898896	0.889545086557046	3019	730	0.00962545859947568	11592000	7
20220521 194037	binary	custom	TRUE	TRUE	FALSE	-100	280108	-1	0	0	0	31	50	TRUE	0.181349385887152	0.491539415316656	6238	1013	0.0401231866237746	9414000	8
20220521 194135	binary	custom	TRUE	TRUE	FALSE	-100	280108	-1	0	0	0	31	47	TRUE	0.080510548079852	0.449301769146696	1340	790	0.0248696179570591	11551000	9
20220521 194205	binary	custom	TRUE	TRUE	FALSE	-100	280108	-1	0	0	0	31	46	TRUE	0.169225343682338	0.69193806944415	3350	627	0.0327157027049301	10009000	10
20220521 194227	binary	custom	TRUE	TRUE	FALSE	-100	280108	-1	0	0	0	31	24	TRUE	0.255828008213313	0.636496396660805	4996	188	0.0123801154807249	11881000	11
20220521 194321	binary	custom	TRUE	TRUE	FALSE	-100	280108	-1	0	0	0	31	97	TRUE	0.0494027276666602	0.356799454772845	5685	233	0.0163884996121245	12929000	12
20220521 194340	binary	custom	TRUE	TRUE	FALSE	-100	280108	-1	0	0	0	31	19	TRUE	0.213601197764277	0.233365307766944	6460	55	0.0307567297699279	10380000	13
20220521 194403	binary	custom	TRUE	TRUE	FALSE	-100	280108	-1	0	0	0	31	15	TRUE	0.262213997068699	0.933009752770886	2338	847	0.0458341856729627	7569000	14
20220521 194601	binary	custom	TRUE	TRUE	FALSE	-100	280108	-1	0	0	0	31	175	TRUE	0.0225031073794235	0.757420359812677	1973	76	0.0226981258980231	12462000	15
20220521 194925	binary	custom	TRUE	TRUE	FALSE	-100	280108	-1	0	0	0	31	156	TRUE	0.0247539261191851	0.992423487817869	594	962	0.045166190120411	6904000	16
20220521 194944	binary	custom	TRUE	TRUE	FALSE	-100	280108	-1	0	0	0	31	21	TRUE	0.273805615185178	0.259705757228658	7138	700	0.0257412814860193	11689000	17
20220521 195048	binary	custom	TRUE	TRUE	FALSE	-100	280108	-1	0	0	0	31	1	TRUE	0.2953232656084	0.575716771408916	116	529	0.0178598687135188	5309000	18
20220521 195119	binary	custom	TRUE	TRUE	FALSE	-100	280108	-1	0	0	0	31	80	TRUE	0.108674023807049	0.879724895628169	7404	883	0.019467125220884	12381000	19
20220521 195159	binary	custom	TRUE	TRUE	FALSE	-100	280108	-1	0	0	0	31	59	TRUE	0.0916912521081976	0.370908331843093	3891	124	0.0431611367457663	8581000	20
20220521 195403	binary	custom	TRUE	TRUE	FALSE	-100	280108	-1	0	0	0	31	200	TRUE	0.021694517085165	0.442483842220883	3723	653	0.0193814772626153	13037000	21
20220521 195437	binary	custom	TRUE	TRUE	FALSE	-100	280108	-1	0	0	0	31	55	TRUE	0.121850825449931	0.389047882239328	6103	714	0.0131194117961098	12513000	22
20220521 195538	binary	custom	TRUE	TRUE	FALSE	-100	280108	-1	0	0	0	31	124	TRUE	0.0414043579977083	0.658052683335117	4041	106	0.0148135949345087	12982000	23
20220521 195934	binary	custom	TRUE	TRUE	FALSE	-100	280108	-1	0	0	0	31	418	TRUE	0.0100759156868274	0.341133114012029	3123	206	0.0191726006889706	13098000	24
20220521 200004	binary	custom	TRUE	TRUE	FALSE	-100	280108	-1	0	0	0	31	58	TRUE	0.0932219526817835	0.835532372667991	6885	133	0.0104451102006207	11840000	25
20220521 200104	binary	custom	TRUE	TRUE	FALSE	-100	280108	-1	0	0	0	31	98	TRUE	0.0598684535731976	0.47138934457571	4029	269	0.0197207162398733	12821000	26
20220521 200602	binary	custom	TRUE	TRUE	FALSE	-100	280108	-1	0	0	0	31	543	TRUE	0.0100624911825883	0.454534397791209	2946	376	0.0149284224271366	13301000	27
20220521 201052	binary	custom	TRUE	TRUE	FALSE	-100	280108	-1	0	0	0	31	702	TRUE	0.0102657305868932	0.240207932727066	2696	904	0.0154190374784999	13070000	28
20220521 201220	binary	custom	TRUE	TRUE	FALSE	-100	280108	-1	0	0	0	31	240	TRUE	0.0261866836817366	0.239244684673619	7988	620	0.0175942272718267	12855000	29
20220521 201638	binary	custom	TRUE	TRUE	FALSE	-100	280108	-1	0	0	0	31	726	TRUE	0.0100570280711177	0.205129191239178	4217	328	0.0105457824179154	12287000	30
20220521 202128	binary	custom	TRUE	TRUE	FALSE	-100	280108	-1	0	0	0	31	501	TRUE	0.0101173799883787	0.623181415727766	2690	785	0.017339866150959	13082000	31
20220521 202311	binary	custom	TRUE	TRUE	FALSE	-100	280108	-1	0	0	0	31	198	TRUE	0.02549210803878	0.458777685813624	2636	16	0.0151279890345701	13358000	32
20220521 202503	binary	custom	TRUE	TRUE	FALSE	-100	280108	-1	0	0	0	31	219	TRUE	0.0350614523685889	0.357856206378753	2721	561	0.016358321231567	13102000	33
20220521 203027	binary	custom	TRUE	TRUE	FALSE	-100	280108	-1	0	0	0	31	587	TRUE	0.0100922883385482	0.518508909452113	2742	144	0.0151298331196886	13203000	34
20220521 203216	binary	custom	TRUE	TRUE	FALSE	-100	280108	-1	0	0	0	31	240	TRUE	0.0280507646654127	0.454334058364766	3151	16	0.0153466342273012	13254000	35
20220521 203613	binary	custom	TRUE	TRUE	FALSE	-100	280108	-1	0	0	0	31	413	TRUE	0.0101290409427993	0.512063444556572	5391	1021	0.0168460262728481	13020000	36
20220521 203634	binary	custom	TRUE	TRUE	FALSE	-100	280108	-1	0	0	0	31	16	TRUE	0.241200508496811	0.427809023181822	8000	1023	0.0149865799194516	12316000	37
20220521 204026	binary	custom	TRUE	TRUE	FALSE	-100	280108	-1	0	0	0	31	673	TRUE	0.0102753939403412	0.272006300112375	2093	16	0.0152393092924813	13105000	38
20220521 204437	binary	custom	TRUE	TRUE	FALSE	-100	280108	-1	0	0	0	31	674	TRUE	0.0103010620767717	0.335103236526395	7110	1024	0.022534947997084	12537000	39
20220521 204845	binary	custom	TRUE	TRUE	FALSE	-100	280108	-1	0	0	0	31	691	TRUE	0.0100454552011805	0.640025865458232	5255	449	0.016751896038664	13104000	40
20220521 205226	binary	custom	TRUE	TRUE	FALSE	-100	280108	-1	0	0	0	31	490	TRUE	0.0111558863397835	0.463996000135474	7999	17	0.0193484560821524	12843000	41
20220521 205303	binary	custom	TRUE	TRUE	FALSE	-100	280108	-1	0	0	0	31	51	TRUE	0.0893669556145321	0.455739027284432	8000	408	0.0207059924315223	12635000	42
20220521 205640	binary	custom	TRUE	TRUE	FALSE	-100	280108	-1	0	0	0	31	412	TRUE	0.0101076642819355	0.468036220328208	7221	406	0.0161391427915408	12954000	43
20220521 205702	binary	custom	TRUE	TRUE	FALSE	-100	280108	-1	0	0	0	31	27	TRUE	0.299250866391084	0.399582174351228	7999	18	0.0153477213268598	12399000	44
20220521 210158	binary	custom	TRUE	TRUE	FALSE	-100	280108	-1	0	0	0	31	547	TRUE	0.0100450122556782	0.420805102273973	2873	1024	0.0221612783684991	12385000	45
20220521 210709	binary	custom	TRUE	TRUE	FALSE	-100	280108	-1	0	0	0	31	736	TRUE	0.0110466686109738	0.45971900909429	4568	794	0.014928147518094	13292000	46
20220521 211004	binary	custom	TRUE	TRUE	FALSE	-100	280108	-1	0	0	0	31	337	TRUE	0.0134495471937645	0.62058106419656	3658	841	0.0139493036780798	13223000	47
20220521 211300	binary	custom	TRUE	TRUE	FALSE	-100	280108	-1	0	0	0	31	380	TRUE	0.0108730220435687	0.998794481377467	4598	777	0.014834249697983	12911000	48
20220521 211646	binary	custom	TRUE	TRUE	FALSE	-100	280108	-1	0	0	0	31	399	TRUE	0.0101788611067665	0.547674563955644	5882	778	0.0149774068127054	12900000	49
20220521 211708	binary	custom	TRUE	TRUE	FALSE	-100	280108	-1	0	0	0	31	29	TRUE	0.149198126004216	0.223877333352148	7409	16	0.0168259803767027	12442000	50
